车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
G3008,高速,香港西九龙,19:49,福田,当天20:03,20:05,厦门,23:52
G305,高速,天津西,10:58,福田,当天20:46,20:48,香港西九龙,21:02
G5603,高速,深圳北,20:03,福田,当天20:11,20:13,香港西九龙,20:27
G5606,高速,香港西九龙,15:39,福田,当天15:53,15:55,深圳北,16:03
G5612,高速,香港西九龙,22:02,福田,当天22:16,22:18,深圳北,22:26
G5613,高速,深圳北,8:29,福田,当天08:37,8:39,香港西九龙,8:53
G5614,高速,香港西九龙,21:32,福田,当天21:46,21:48,深圳北,21:56
G5625,高速,深圳北,7:39,福田,当天07:47,7:49,香港西九龙,8:03
G5635,高速,深圳北,16:43,福田,当天16:51,16:53,香港西九龙,17:07
G5647,高速,深圳北,14:35,福田,当天14:43,14:45,香港西九龙,14:59
G5651,高速,深圳北,18:26,福田,当天18:34,18:39,香港西九龙,18:53
G5653,高速,深圳北,19:52,福田,当天20:00,20:02,香港西九龙,20:16
G5655,高速,深圳北,21:10,福田,当天21:18,21:20,香港西九龙,21:34
G5801,高速,福田,13:29,福田,当天13:29,13:29,香港西九龙,13:43
G5802,高速,香港西九龙,12:56,福田,当天13:10,13:10,福田,13:10
G5803,高速,福田,14:34,福田,当天14:34,14:34,香港西九龙,14:48
G5804,高速,香港西九龙,14:04,福田,当天14:18,14:18,福田,14:18
G5805,高速,福田,15:54,福田,当天15:54,15:54,香港西九龙,16:08
G5806,高速,香港西九龙,15:19,福田,当天15:33,15:33,福田,15:33
G5807,高速,福田,14:05,福田,当天14:05,14:05,香港西九龙,14:19
G5808,高速,香港西九龙,13:30,福田,当天13:45,13:45,福田,13:45
G5809,高速,福田,15:09,福田,当天15:09,15:09,香港西九龙,15:24
G5810,高速,香港西九龙,14:39,福田,当天14:53,14:53,福田,14:53
G5813,高速,福田,17:56,福田,当天17:56,17:56,香港西九龙,18:10
G5814,高速,香港西九龙,17:26,福田,当天17:40,17:40,福田,17:40
G5815,高速,福田,10:50,福田,当天10:50,10:50,香港西九龙,11:04
G5816,高速,香港西九龙,10:20,福田,当天10:34,10:34,福田,10:34
G5817,高速,福田,11:49,福田,当天11:49,11:49,香港西九龙,12:03
G5818,高速,香港西九龙,11:20,福田,当天11:34,11:34,福田,11:34
G5819,高速,福田,7:41,福田,当天07:41,7:41,香港西九龙,7:55
G5820,高速,香港西九龙,7:10,福田,当天07:24,7:24,福田,7:24
G5821,高速,福田,8:46,福田,当天08:46,8:46,香港西九龙,9:00
G5822,高速,香港西九龙,8:15,福田,当天08:29,8:29,福田,8:29
G5823,高速,福田,20:36,福田,当天20:36,20:36,香港西九龙,20:50
G5824,高速,香港西九龙,20:07,福田,当天20:21,20:21,福田,20:21
G5825,高速,福田,21:49,福田,当天21:49,21:49,香港西九龙,22:03
G5826,高速,香港西九龙,21:20,福田,当天21:34,21:34,福田,21:34
G5827,高速,福田,17:16,福田,当天17:16,17:16,香港西九龙,17:30
G5828,高速,香港西九龙,16:47,福田,当天17:01,17:01,福田,17:01
G5829,高速,福田,18:29,福田,当天18:29,18:29,香港西九龙,18:43
G5830,高速,香港西九龙,18:00,福田,当天18:14,18:14,福田,18:14
G5831,高速,福田,19:33,福田,当天19:33,19:33,香港西九龙,19:47
G5832,高速,香港西九龙,19:05,福田,当天19:19,19:19,福田,19:19
G5833,高速,福田,8:12,福田,当天----,8:12,香港西九龙,8:26
G5834,高速,香港西九龙,7:43,福田,当天07:57,7:57,福田,7:57
G5835,高速,福田,9:20,福田,当天----,9:20,香港西九龙,9:34
G5836,高速,香港西九龙,8:50,福田,当天09:04,9:04,福田,9:04
G5837,高速,福田,10:21,福田,当天----,10:21,香港西九龙,10:35
G5838,高速,香港西九龙,9:53,福田,当天10:07,10:07,福田,10:07
G5839,高速,福田,11:28,福田,当天----,11:28,香港西九龙,11:42
G5840,高速,香港西九龙,10:57,福田,当天11:11,11:11,福田,11:11
G5841,高速,福田,12:28,福田,当天----,12:28,香港西九龙,12:43
G5842,高速,香港西九龙,11:59,福田,当天12:13,12:13,福田,12:13
G5843,高速,福田,13:34,福田,当天----,13:34,香港西九龙,13:48
G5844,高速,香港西九龙,13:01,福田,当天13:15,13:15,福田,13:15
G5845,高速,福田,14:40,福田,当天----,14:40,香港西九龙,14:54
G5846,高速,香港西九龙,14:09,福田,当天14:23,14:23,福田,14:23
G5847,高速,福田,16:20,福田,当天----,16:20,香港西九龙,16:34
G5848,高速,香港西九龙,15:49,福田,当天16:03,16:03,福田,16:03
G5849,高速,福田,17:31,福田,当天----,17:31,香港西九龙,17:46
G5850,高速,香港西九龙,17:02,福田,当天17:16,17:16,福田,17:16
G5851,高速,福田,18:34,福田,当天----,18:34,香港西九龙,18:48
G5852,高速,香港西九龙,18:05,福田,当天18:19,18:19,福田,18:19
G5853,高速,福田,19:45,福田,当天----,19:45,香港西九龙,20:00
G5854,高速,香港西九龙,19:15,福田,当天19:29,19:29,福田,19:29
G5855,高速,福田,20:58,福田,当天----,20:58,香港西九龙,21:12
G5856,高速,香港西九龙,20:28,福田,当天20:42,20:42,福田,20:42
G6014,高速,福田,17:43,福田,当天----,17:43,长沙南,21:20
G6027,高速,岳阳东,18:50,福田,当天23:05,23:05,福田,23:05
G6071,高速,永州,13:17,福田,当天17:25,17:25,福田,17:25
G6072,高速,福田,7:35,福田,当天07:35,7:35,永州,12:13
G6074,高速,永州,13:17,福田,当天17:25,17:25,福田,17:25
G6212,高速,福田,12:30,福田,当天12:30,12:30,佛山西,13:43
G6215,高速,广州南,11:03,福田,当天12:07,12:07,福田,12:07
G6218,高速,福田,8:49,福田,当天08:49,8:49,广州南,9:44
G6227,高速,广州南,7:23,福田,当天08:18,8:18,福田,8:18
G6236,高速,福田,18:23,福田,当天18:23,18:23,广州南,19:19
G6263,高速,广州南,22:09,福田,当天22:50,22:50,福田,22:50
G6264,高速,福田,20:14,福田,当天20:14,20:14,广州北,21:23
G6265,高速,广州南,19:05,福田,当天19:55,19:55,福田,19:55
G6382,高速,香港西九龙,7:26,福田,当天07:40,7:42,潮汕,10:09
G6384,高速,香港西九龙,11:48,福田,当天12:02,12:08,潮汕,14:43
G6386,高速,香港西九龙,9:22,福田,当天09:36,9:38,潮汕,12:17
G6388,高速,香港西九龙,16:40,福田,当天16:54,16:56,潮汕,19:28
G6392,高速,香港西九龙,14:14,福田,当天14:28,14:32,汕头,17:36
G6502,高速,香港西九龙,19:30,福田,当天19:44,19:46,广州南,20:36
G6508,高速,香港西九龙,16:18,福田,当天16:32,16:34,广州南,17:23
G6516,高速,香港西九龙,12:26,福田,当天12:40,12:42,广州南,13:30
G6519,高速,广州南,16:32,福田,当天17:20,17:22,香港西九龙,17:36
G6520,高速,香港西九龙,20:54,福田,当天21:08,21:10,广州南,21:58
G6523,高速,广州南,11:14,福田,当天11:55,11:57,香港西九龙,12:11
G6527,高速,广州南,8:36,福田,当天09:36,9:38,香港西九龙,9:52
G6530,高速,香港西九龙,13:25,福田,当天13:39,13:41,广州南,14:35
G6541,高速,广州南,11:24,福田,当天12:18,12:20,香港西九龙,12:35
G6542,高速,香港西九龙,15:14,福田,当天15:28,15:30,广州南,16:18
G6544,高速,香港西九龙,18:39,福田,当天18:53,18:55,广州南,19:44
G6579,高速,肇庆东,8:14,福田,当天09:58,10:00,香港西九龙,10:14
G6580,高速,香港西九龙,20:21,福田,当天20:35,20:37,肇庆东,22:20
G6581,高速,广州南,9:48,福田,当天10:40,10:42,香港西九龙,10:56
G6582,高速,香港西九龙,8:25,福田,当天08:39,8:41,广州南,9:28
G6585,高速,广州南,18:33,福田,当天19:21,19:23,香港西九龙,19:37
G6587,高速,广州南,21:32,福田,当天22:24,22:26,香港西九龙,22:40
G6588,高速,香港西九龙,20:02,福田,当天20:16,20:19,广州南,21:07
G71,高速,北京西,7:26,福田,当天18:04,18:04,福田,18:04
G72,高速,福田,7:02,福田,当天----,7:02,北京西,18:22
G9674,高速,福田,23:23,福田,当天23:23,23:23,长沙南,2:30
G9715,高速,广州南,7:29,福田,当天08:13,8:17,香港西九龙,8:31
