车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
C6871,动车,广州,8:39,广州,当天08:39,8:39,肇庆,10:05
C6872,动车,肇庆,6:57,广州,当天08:08,8:08,广州,8:08
C6873,动车,广州,14:42,广州,当天14:42,14:42,肇庆,16:08
C6874,动车,肇庆,13:00,广州,当天14:26,14:26,广州,14:26
C6875,动车,广州,18:46,广州,当天18:46,18:46,肇庆,20:18
C6876,动车,肇庆,17:00,广州,当天18:26,18:26,广州,18:26
D1849,动车,广州,7:23,广州,当天----,7:23,广元,19:18
D1851,动车,广元,11:10,广州,当天22:54,22:54,广州,22:54
D1852,动车,广州,7:23,广州,当天----,7:23,广元,19:18
D1853,动车,广州,9:44,广州,当天----,9:44,绵阳,19:36
D1855,动车,绵阳,9:04,广州,当天19:09,19:09,广州,19:09
D1856,动车,广州,9:44,广州,当天----,9:44,绵阳,19:36
D1857,动车,广州,12:37,广州,当天----,12:37,德阳,22:10
D1859,动车,德阳,7:42,广州,当天17:31,17:31,广州,17:31
D1860,动车,广州,12:37,广州,当天----,12:37,德阳,22:10
D2877,动车,广州,11:18,广州,当天----,11:18,贵阳北,17:11
D2879,动车,贵阳北,13:10,广州,当天19:00,19:00,广州,19:00
D2880,动车,广州,11:18,广州,当天----,11:18,贵阳北,17:11
D2995,动车,广州,19:24,广州,当天----,19:24,桂林北,22:18
D2997,动车,桂林北,8:15,广州,当天11:03,11:03,广州,11:03
D3677,动车,广州,14:01,广州,当天----,14:01,南宁东,17:52
D3679,动车,南宁东,9:45,广州,当天13:31,13:31,广州,13:31
D3680,动车,广州,14:01,广州,当天----,14:01,南宁东,17:52
D7551,动车,深圳,7:55,广州,当天09:16,9:24,怀集,11:04
D7553,动车,怀集,11:21,广州,当天12:50,12:58,深圳,14:20
D7554,动车,深圳,7:55,广州,当天09:16,9:24,怀集,11:04
K1006,快速,周口,12:12,广州,第2日08:58,8:58,广州,8:58
K1007,快速,周口,12:00,广州,第2日08:50,8:50,广州,8:50
K1008,快速,广州,14:20,广州,当天----,14:20,周口,13:03
K1079,快速,武昌,16:44,广州,第2日05:47,5:47,广州,5:47
K1080,快速,广州,20:56,广州,当天----,20:56,武昌,10:25
K1095,快速,巴中,12:31,广州,第2日13:20,13:20,广州,13:20
K1096,快速,广州,8:55,广州,当天----,8:55,巴中,11:31
K1098,快速,巴中,12:31,广州,第2日13:20,13:20,广州,13:20
K1159,快速,烟台,9:23,广州,第2日20:44,20:44,广州,20:44
K1160,快速,广州,8:19,广州,当天----,8:19,烟台,21:27
K1161,快速,广州,8:12,广州,当天08:12,8:12,烟台,21:27
K1162,快速,烟台,9:23,广州,第2日20:44,20:44,广州,20:44
K1171,快速,达州,14:21,广州,第2日16:38,16:58,惠州,19:38
K1172,快速,惠州,8:10,广州,当天10:21,10:41,达州,13:21
K1173,快速,惠州,8:10,广州,当天10:21,10:41,达州,13:21
K1174,快速,达州,14:21,广州,第2日16:38,16:58,惠州,19:38
K1205,快速,深圳东,14:34,广州,当天16:18,16:42,昆明,20:43
K1206,快速,昆明,8:53,广州,第2日11:41,12:01,深圳东,13:34
K1207,快速,昆明,8:53,广州,第2日11:41,12:01,深圳东,13:34
K1208,快速,深圳东,14:34,广州,当天16:18,16:42,昆明,20:43
K1231,快速,湛江,22:05,广州,第2日05:46,6:06,深圳东,8:15
K1232,快速,深圳东,20:10,广州,当天21:43,22:04,湛江,6:10
K1233,快速,深圳东,20:10,广州,当天21:43,22:04,湛江,6:10
K1234,快速,湛江,22:05,广州,第2日05:46,6:06,深圳东,8:15
K1295,快速,银川,21:28,广州,第3日13:53,13:53,广州,13:53
K1296,快速,广州,18:05,广州,当天----,18:05,银川,10:25
K1297,快速,广州,18:05,广州,当天----,18:05,银川,10:25
K1298,快速,银川,21:28,广州,第3日13:53,13:53,广州,13:53
K1347,快速,西安,14:37,广州,第2日17:55,18:07,深圳,20:18
K1348,快速,深圳,8:10,广州,当天09:52,10:07,西安,13:30
K1349,快速,深圳,8:10,广州,当天09:52,10:07,西安,13:30
K1350,快速,西安,14:37,广州,第2日17:55,18:07,深圳,20:18
K191,快速,成都,8:37,广州,第2日10:10,10:10,广州,10:10
K192,快速,广州,11:10,广州,当天----,11:10,成都,9:25
