车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
1227,普快,阜新南,16:48,上海,第2日18:26,18:26,上海,18:26
1228,普快,上海,20:22,上海,当天----,20:22,阜新南,23:08
1229,普快,上海,20:22,上海,当天----,20:22,阜新南,23:08
1230,普快,阜新南,16:48,上海,第2日18:26,18:26,上海,18:26
1461,普快,北京,11:55,上海,第2日07:00,7:00,上海,7:00
1462,普快,上海,12:15,上海,当天----,12:15,北京,10:50
3215,普快,成都,3:55,上海,第2日13:13,13:13,上海,13:13
3216,普快,上海,12:50,上海,当天----,12:50,成都,0:28
3217,普快,上海,12:50,上海,当天12:50,12:50,成都,0:28
3218,普快,成都,3:55,上海,第2日13:13,13:13,上海,13:13
3255,普快,成都,22:28,上海,第3日15:52,15:52,上海,15:52
3256,普快,上海,17:03,上海,当天----,17:03,成都,8:38
3257,普快,上海,17:03,上海,当天17:03,17:03,成都,8:38
3258,普快,成都,22:28,上海,第3日15:52,15:52,上海,15:52
3555,普快,信阳,12:40,上海,第2日04:49,4:49,上海,4:49
4310,普快,通辽,12:43,上海,第2日18:26,18:26,上海,18:26
D305,动车,西安北,19:35,上海,第2日06:20,6:20,上海,6:20
D306,动车,上海,22:50,上海,当天----,22:50,西安北,10:03
D307,动车,上海,22:50,上海,当天----,22:50,西安北,10:03
D308,动车,西安北,19:35,上海,第2日06:20,6:20,上海,6:20
D309,动车,兰州西,17:15,上海,第2日06:26,6:26,上海,6:26
D310,动车,上海,22:44,上海,当天----,22:44,兰州西,12:51
D311,动车,上海,22:44,上海,当天----,22:44,兰州西,12:51
D312,动车,兰州西,17:15,上海,第2日06:26,6:26,上海,6:26
D4698,动车,上海,20:20,上海,当天----,20:20,汉口,1:15
D4699,动车,上海,20:20,上海,当天20:20,20:20,汉口,1:15
D701,动车,北京,19:22,上海,第2日07:26,7:26,上海,7:26
D702,动车,上海,19:09,上海,当天----,19:09,北京,7:12
D705,动车,北京,21:21,上海,第2日09:21,9:21,上海,9:21
D706,动车,上海,21:18,上海,当天----,21:18,北京,9:24
D709,动车,北京南,19:46,上海,第2日07:46,7:46,上海,7:46
D710,动车,上海,21:24,上海,当天----,21:24,北京南,9:22
D905,动车,上海,19:34,上海,当天----,19:34,深圳北,6:46
D906,动车,深圳北,20:04,上海,第2日07:06,7:06,上海,7:06
D951,动车,成都东,7:47,上海,当天20:27,20:27,上海,20:27
D952,动车,上海,8:30,上海,当天----,8:30,成都东,20:59
D953,动车,上海,8:30,上海,当天08:30,8:30,成都东,20:59
D954,动车,成都东,7:47,上海,当天20:27,20:27,上海,20:27
D955,动车,重庆北,7:59,上海,当天18:25,18:25,上海,18:25
D956,动车,上海,9:30,上海,当天----,9:30,重庆北,20:05
D957,动车,上海,9:30,上海,当天09:30,9:30,重庆北,20:05
D9577,动车,徐州,12:45,上海,当天18:48,18:48,上海,18:48
D9578,动车,上海,6:10,上海,当天----,6:10,徐州,12:05
D9579,动车,徐州,13:52,上海,当天19:58,19:58,上海,19:58
D958,动车,重庆北,7:59,上海,当天18:25,18:25,上海,18:25
D9580,动车,上海,7:39,上海,当天----,7:39,徐州,13:22
G12,高速,上海,12:00,上海,当天----,12:00,北京南,16:38
G129,高速,北京南,12:10,上海,当天18:07,18:07,上海,18:07
G130,高速,上海,11:15,上海,当天----,11:15,北京南,17:44
G15,高速,北京南,18:00,上海,当天22:43,22:43,上海,22:43
G18,高速,上海,17:55,上海,当天----,17:55,北京南,22:36
G21,高速,北京南,19:08,上海,当天23:40,23:40,上海,23:40
G222,高速,上海,7:05,上海,当天----,7:05,青岛北,13:24
G223,高速,上海,7:05,上海,当天07:05,7:05,青岛北,13:24
G233,高速,青岛,16:22,上海,当天23:10,23:10,上海,23:10
G236,高速,青岛,16:22,上海,当天23:10,23:10,上海,23:10
G415,高速,北京南,6:19,上海,当天12:23,12:23,上海,12:23
G416,高速,上海,12:45,上海,当天----,12:45,北京南,19:31
G441,高速,天津西,8:45,上海,当天14:57,14:57,上海,14:57
G442,高速,上海,15:22,上海,当天----,15:22,天津西,21:05
G5,高速,北京南,7:00,上海,当天11:40,11:40,上海,11:40
