车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
D2205,动车,成都东,8:07,上海虹桥,当天22:24,22:24,上海虹桥,22:24
D2206,动车,上海虹桥,6:58,上海虹桥,当天----,6:58,成都东,21:36
D2207,动车,上海虹桥,6:58,上海虹桥,当天06:58,6:58,成都东,21:36
D2208,动车,成都东,8:07,上海虹桥,当天22:24,22:24,上海虹桥,22:24
D2211,动车,重庆北,7:14,上海虹桥,当天19:20,19:20,上海虹桥,19:20
D2212,动车,嘉兴南,6:47,上海虹桥,当天07:28,7:34,重庆北,20:10
D2213,动车,嘉兴南,6:47,上海虹桥,当天07:28,7:34,重庆北,20:10
D2214,动车,重庆北,7:14,上海虹桥,当天19:20,19:20,上海虹桥,19:20
D2215,动车,重庆北,8:38,上海虹桥,当天20:29,20:29,上海虹桥,20:29
D2216,动车,上海虹桥,8:42,上海虹桥,当天----,8:42,重庆北,21:13
D2217,动车,上海虹桥,8:42,上海虹桥,当天08:42,8:42,重庆北,21:13
D2218,动车,重庆北,8:38,上海虹桥,当天20:29,20:29,上海虹桥,20:29
D2281,动车,南京,7:46,上海虹桥,当天10:16,10:28,深圳北,21:53
D2282,动车,深圳北,9:21,上海虹桥,当天21:20,21:25,南京,23:12
D2283,动车,上海虹桥,11:24,上海虹桥,当天----,11:24,深圳北,22:40
D2284,动车,深圳北,8:48,上海虹桥,当天20:44,20:44,上海虹桥,20:44
D2285,动车,上海虹桥,9:05,上海虹桥,当天----,9:05,深圳北,20:38
D2286,动车,深圳北,9:58,上海虹桥,当天22:12,22:12,上海虹桥,22:12
D2287,动车,上海虹桥,7:02,上海虹桥,当天----,7:02,深圳北,18:25
D2288,动车,深圳北,10:46,上海虹桥,当天22:36,22:36,上海虹桥,22:36
D3005,动车,宜昌东,6:55,上海虹桥,当天15:15,15:15,上海虹桥,15:15
D3006,动车,上海虹桥,13:53,上海虹桥,当天----,13:53,宜昌东,21:34
D3007,动车,上海虹桥,13:53,上海虹桥,当天13:53,13:53,宜昌东,21:34
D3008,动车,宜昌东,6:55,上海虹桥,当天15:15,15:15,上海虹桥,15:15
D3009,动车,汉口,8:30,上海虹桥,当天14:21,14:21,上海虹桥,14:21
D3010,动车,上海虹桥,14:41,上海虹桥,当天----,14:41,汉口,19:57
D3011,动车,上海虹桥,14:41,上海虹桥,当天14:41,14:41,汉口,19:57
D3012,动车,汉口,8:30,上海虹桥,当天14:21,14:21,上海虹桥,14:21
D3013,动车,汉口,7:59,上海虹桥,当天13:22,13:22,上海虹桥,13:22
D3014,动车,上海虹桥,16:07,上海虹桥,当天----,16:07,汉口,21:33
D3015,动车,上海虹桥,16:07,上海虹桥,当天16:07,16:07,汉口,21:33
D3016,动车,汉口,7:59,上海虹桥,当天13:22,13:22,上海虹桥,13:22
D3021,动车,武昌,15:43,上海虹桥,当天21:37,21:37,上海虹桥,21:37
D3022,动车,上海虹桥,9:15,上海虹桥,当天----,9:15,武昌,15:20
D3023,动车,上海虹桥,9:15,上海虹桥,当天09:15,9:15,武昌,15:20
D3024,动车,武昌,15:43,上海虹桥,当天21:37,21:37,上海虹桥,21:37
D3025,动车,汉口,7:31,上海虹桥,当天13:06,13:06,上海虹桥,13:06
D3026,动车,上海虹桥,13:27,上海虹桥,当天----,13:27,宜昌东,20:58
D3027,动车,上海虹桥,13:27,上海虹桥,当天13:27,13:27,宜昌东,20:58
D3028,动车,汉口,7:31,上海虹桥,当天13:06,13:06,上海虹桥,13:06
D3031,高速,宜昌东,6:33,上海虹桥,当天14:47,14:47,上海虹桥,14:47
D3032,动车,上海虹桥,15:16,上海虹桥,当天----,15:16,汉口,20:57
D3033,动车,上海虹桥,15:16,上海虹桥,当天15:16,15:16,汉口,20:57
D3034,高速,宜昌东,6:33,上海虹桥,当天14:47,14:47,上海虹桥,14:47
D3041,动车,武昌,9:40,上海虹桥,当天16:00,16:00,上海虹桥,16:00
D3042,动车,上海虹桥,16:47,上海虹桥,当天----,16:47,汉口,22:27
D3043,动车,上海虹桥,16:47,上海虹桥,当天16:47,16:47,汉口,22:27
