车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
3147,快速,上海南,4:00,上海南,当天----,4:00,重庆西,10:39
3148,普快,重庆西,19:15,上海南,第3日02:29,2:29,上海南,2:29
D3060,动车,上海南,9:06,上海南,当天----,9:06,汉口,15:21
D3061,动车,上海南,9:06,上海南,当天09:06,9:06,汉口,15:21
D3063,动车,汉口,16:38,上海南,当天22:47,22:47,上海南,22:47
D3064,动车,上海南,7:40,上海南,当天----,7:40,汉口,13:43
D3065,动车,上海南,7:40,上海南,当天07:40,7:40,汉口,13:43
D3066,动车,汉口,16:38,上海南,当天22:47,22:47,上海南,22:47
D3067,动车,汉口,15:50,上海南,当天22:13,22:13,上海南,22:13
D3068,动车,上海南,9:40,上海南,当天----,9:40,汉口,15:30
D3069,动车,上海南,9:40,上海南,当天09:40,9:40,汉口,15:30
D3070,动车,汉口,15:50,上海南,当天22:13,22:13,上海南,22:13
D3071,动车,重庆北,6:41,上海南,当天19:21,19:21,上海南,19:21
D3072,动车,上海南,6:29,上海南,当天----,6:29,重庆北,19:15
D3073,动车,上海南,6:29,上海南,当天06:29,6:29,重庆北,19:15
D3074,动车,重庆北,6:41,上海南,当天19:21,19:21,上海南,19:21
D5403,动车,上海南,13:54,上海南,当天----,13:54,杭州,15:38
D5404,动车,杭州,16:00,上海南,当天17:42,17:42,上海南,17:42
D5481,动车,上海南,8:31,上海南,当天----,8:31,金华,11:51
D5482,动车,金华,12:11,上海南,当天15:21,15:21,上海南,15:21
D5483,动车,上海南,9:22,上海南,当天----,9:22,开化,14:21
D5484,动车,开化,8:30,上海南,当天13:15,13:15,上海南,13:15
D5485,动车,上海南,15:57,上海南,当天----,15:57,开化,20:40
D5486,动车,开化,15:52,上海南,当天20:28,20:28,上海南,20:28
D5685,动车,上海南,8:31,上海南,当天08:31,8:31,义乌,11:28
D5689,动车,上海南,15:11,上海南,当天15:11,15:11,开化,20:01
D771,动车,上海南,8:18,上海南,当天----,8:18,九江,15:29
