车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
3142,普快,深圳,18:53,深圳,当天18:53,18:53,宜昌东,14:30
C7001,动车,广州东,6:00,深圳,当天07:18,7:18,深圳,7:18
C7002,动车,深圳,7:33,深圳,当天07:33,7:33,广州东,8:55
C7003,动车,广州东,9:13,深圳,当天10:39,10:39,深圳,10:39
C7004,动车,深圳,10:58,深圳,当天10:58,10:58,广州东,12:23
C7005,动车,广州东,12:46,深圳,当天14:04,14:04,深圳,14:04
C7006,动车,深圳,14:18,深圳,当天14:18,14:18,广州东,15:40
C7007,动车,广州东,16:04,深圳,当天17:26,17:26,深圳,17:26
C7008,动车,深圳,17:44,深圳,当天17:44,17:44,广州东,19:07
C7009,动车,广州东,19:26,深圳,当天20:48,20:48,深圳,20:48
C7010,动车,深圳,21:04,深圳,当天21:04,21:04,广州东,22:27
C7011,动车,广州东,22:38,深圳,当天23:57,23:57,深圳,23:57
C7013,动车,广州东,7:04,深圳,当天08:26,8:26,深圳,8:26
C7014,动车,深圳,8:40,深圳,当天08:40,8:40,广州东,9:59
C7015,动车,广州东,10:53,深圳,当天12:11,12:11,深圳,12:11
C7016,动车,深圳,12:25,深圳,当天12:25,12:25,广州东,13:48
C7017,动车,广州东,14:15,深圳,当天15:37,15:37,深圳,15:37
C7018,动车,深圳,15:52,深圳,当天15:52,15:52,广州东,17:11
C7019,动车,广州东,17:29,深圳,当天18:56,18:56,深圳,18:56
C7020,动车,深圳,19:13,深圳,当天19:13,19:13,广州东,20:36
C7021,动车,广州东,20:50,深圳,当天22:09,22:09,深圳,22:09
C7022,动车,深圳,22:22,深圳,当天22:22,22:22,广州东,23:41
C7023,动车,广州东,6:08,深圳,当天07:31,7:31,深圳,7:31
C7024,动车,深圳,7:46,深圳,当天----,7:46,广州东,9:11
C7025,动车,广州东,9:37,深圳,当天11:01,11:01,深圳,11:01
C7026,动车,深圳,11:16,深圳,当天11:16,11:16,广州东,12:39
C7027,动车,广州东,13:19,深圳,当天14:37,14:37,深圳,14:37
C7028,动车,深圳,14:55,深圳,当天14:55,14:55,广州东,16:13
C7029,动车,广州东,16:28,深圳,当天17:50,17:50,深圳,17:50
C7030,动车,深圳,18:17,深圳,当天18:17,18:17,广州东,19:39
C7031,动车,广州东,6:17,深圳,当天07:39,7:39,深圳,7:39
C7032,动车,深圳,14:34,深圳,当天14:34,14:34,广州东,15:57
C7033,动车,广州东,16:37,深圳,当天18:01,18:01,深圳,18:01
C7034,动车,深圳,18:25,深圳,当天18:25,18:25,广州东,19:47
C7035,动车,广州东,20:14,深圳,当天21:36,21:36,深圳,21:36
C7036,动车,深圳,21:53,深圳,当天21:53,21:53,广州东,23:15
C7045,动车,广州东,6:37,深圳,当天07:55,7:55,深圳,7:55
C7046,动车,深圳,8:09,深圳,当天----,8:09,广州东,9:31
C7047,动车,广州东,9:59,深圳,当天11:19,11:19,深圳,11:19
C7048,动车,深圳,11:38,深圳,当天----,11:38,广州东,12:57
C7049,动车,广州东,13:37,深圳,当天14:58,14:58,深圳,14:58
C7050,动车,深圳,15:15,深圳,当天----,15:15,广州东,16:37
C7051,动车,广州东,17:04,深圳,当天18:27,18:27,深圳,18:27
C7052,动车,深圳,18:44,深圳,当天----,18:44,广州东,20:11
C7053,动车,广州东,20:58,深圳,当天22:21,22:21,深圳,22:21
C7054,动车,深圳,22:35,深圳,当天----,22:35,广州东,23:54
C7055,动车,广州东,6:46,深圳,当天08:05,8:05,深圳,8:05
C7056,动车,深圳,8:20,深圳,当天08:20,8:20,广州东,9:39
C7057,动车,广州东,10:07,深圳,当天11:30,11:30,深圳,11:30
C7058,动车,深圳,11:47,深圳,当天11:47,11:47,广州东,13:06
C7059,动车,广州东,13:46,深圳,当天15:09,15:09,深圳,15:09
C7060,动车,深圳,15:23,深圳,当天----,15:23,广州东,16:46
C7061,动车,广州东,17:13,深圳,当天18:38,18:38,深圳,18:38
C7062,动车,深圳,18:52,深圳,当天----,18:52,广州东,20:18
C7063,动车,广州东,20:34,深圳,当天21:52,21:52,深圳,21:52
C7064,动车,深圳,22:06,深圳,当天----,22:06,广州东,23:28
C7065,动车,广州东,6:56,深圳,当天08:14,8:14,深圳,8:14
C7066,动车,深圳,8:29,深圳,当天08:29,8:29,广州东,9:48
C7067,动车,广州东,10:21,深圳,当天11:41,11:41,深圳,11:41
C7068,动车,深圳,11:58,深圳,当天11:58,11:58,广州东,13:18
C7069,动车,广州东,14:05,深圳,当天15:24,15:24,深圳,15:24
C7070,动车,深圳,15:41,深圳,当天15:41,15:41,广州东,17:01
C7071,动车,广州东,17:50,深圳,当天19:18,19:18,深圳,19:18
C7072,动车,深圳,19:36,深圳,当天19:36,19:36,广州东,20:55
C7073,动车,广州东,21:44,深圳,当天23:07,23:07,深圳,23:07
C7074,动车,深圳,6:44,深圳,当天06:44,6:44,广州东,8:07
C7075,动车,广州东,8:27,深圳,当天09:49,9:49,深圳,9:49
C7076,动车,深圳,10:04,深圳,当天10:04,10:04,广州东,11:27
C7077,动车,广州东,11:45,深圳,当天13:03,13:03,深圳,13:03
C7078,动车,深圳,13:17,深圳,当天13:17,13:17,广州东,14:39
C7079,动车,广州东,15:13,深圳,当天16:35,16:35,深圳,16:35
C7080,动车,深圳,16:56,深圳,当天16:56,16:56,广州东,18:20
C7081,动车,广州东,19:09,深圳,当天20:27,20:27,深圳,20:27
C7082,动车,深圳,20:39,深圳,当天20:39,20:39,广州东,22:02
C7083,动车,广州东,7:14,深圳,当天08:36,8:36,深圳,8:36
C7084,动车,深圳,8:53,深圳,当天----,8:53,广州东,10:15
C7085,动车,广州东,10:37,深圳,当天11:55,11:55,深圳,11:55
C7086,动车,深圳,19:03,深圳,当天----,19:03,广州东,20:28
C7091,动车,广州东,7:23,深圳,当天08:46,8:46,深圳,8:46
C7092,动车,深圳,9:03,深圳,当天----,9:03,广州东,10:25
C7093,动车,广州东,10:45,深圳,当天12:04,12:04,深圳,12:04
C7094,动车,深圳,12:18,深圳,当天----,12:18,广州东,13:40
C7095,动车,广州东,14:24,深圳,当天15:46,15:46,深圳,15:46
C7096,动车,深圳,16:02,深圳,当天----,16:02,广州东,17:21
C7097,动车,广州东,17:39,深圳,当天19:08,19:08,深圳,19:08
C7098,动车,深圳,19:23,深圳,当天----,19:23,广州东,20:46
C7099,动车,广州东,21:10,深圳,当天22:32,22:32,深圳,22:32
C7100,动车,深圳,22:44,深圳,当天----,22:44,广州东,0:03
C7101,动车,广州东,7:39,深圳,当天08:58,8:58,深圳,8:58
C7102,动车,深圳,9:13,深圳,当天09:13,9:13,广州东,10:34
C7103,动车,广州东,11:02,深圳,当天12:21,12:21,深圳,12:21
C7104,动车,深圳,12:37,深圳,当天12:37,12:37,广州东,13:56
C7105,动车,广州东,14:48,深圳,当天16:07,16:07,深圳,16:07
C7106,动车,深圳,16:22,深圳,当天16:22,16:22,广州东,17:47
C7107,动车,广州东,18:10,深圳,当天19:30,19:30,深圳,19:30
C7108,动车,深圳,19:44,深圳,当天19:44,19:44,广州东,21:07
C7109,动车,广州东,21:26,深圳,当天22:45,22:45,深圳,22:45
C7110,动车,深圳,7:10,深圳,当天07:10,7:10,广州东,8:34
C7111,动车,广州东,9:28,深圳,当天10:52,10:52,深圳,10:52
C7112,动车,深圳,11:06,深圳,当天11:06,11:06,广州东,12:31
C7113,动车,广州东,13:03,深圳,当天14:29,14:29,深圳,14:29
C7114,动车,深圳,14:47,深圳,当天14:47,14:47,广州东,16:05
C7115,动车,广州东,16:20,深圳,当天17:41,17:41,深圳,17:41
C7116,动车,深圳,18:09,深圳,当天18:09,18:09,广州东,19:34
C7117,动车,广州东,20:06,深圳,当天21:28,21:28,深圳,21:28
C7118,动车,深圳,21:40,深圳,当天21:40,21:40,广州东,23:02
C7125,动车,广州东,8:05,深圳,当天09:28,9:28,深圳,9:28
C7126,动车,深圳,9:45,深圳,当天09:45,9:45,广州东,11:09
C7127,动车,广州东,11:54,深圳,当天13:14,13:14,深圳,13:14
C7128,动车,深圳,13:28,深圳,当天13:28,13:28,广州东,14:50
C7129,动车,广州东,15:38,深圳,当天17:00,17:00,深圳,17:00
C7130,动车,深圳,17:28,深圳,当天17:28,17:28,广州东,18:51
C7131,动车,广州东,19:36,深圳,当天20:57,20:57,深圳,20:57
C7132,动车,深圳,21:20,深圳,当天21:20,21:20,广州东,22:39
C7133,动车,广州东,8:16,深圳,当天09:38,9:38,深圳,9:38
C7134,动车,深圳,9:54,深圳,当天09:54,9:54,广州东,11:18
C7135,动车,广州东,11:36,深圳,当天12:54,12:54,深圳,12:54
C7136,动车,深圳,13:08,深圳,当天13:08,13:08,广州东,14:30
C7137,动车,广州东,15:04,深圳,当天16:25,16:25,深圳,16:25
C7138,动车,深圳,16:40,深圳,当天16:40,16:40,广州东,18:03
C7139,动车,广州东,18:32,深圳,当天19:51,19:51,深圳,19:51
C7140,动车,深圳,20:05,深圳,当天20:05,20:05,广州东,21:26
C7141,动车,广州东,21:57,深圳,当天23:19,23:19,深圳,23:19
C7142,动车,深圳,6:27,深圳,当天06:27,6:27,广州东,7:49
C7143,动车,广州东,8:36,深圳,当天09:59,9:59,深圳,9:59
C7144,动车,深圳,10:13,深圳,当天10:13,10:13,广州东,11:34
C7145,动车,广州东,12:00,深圳,当天13:25,13:25,深圳,13:25
C7146,动车,深圳,13:40,深圳,当天13:40,13:40,广州东,14:59
C7147,动车,广州东,15:21,深圳,当天16:43,16:43,深圳,16:43
C7148,动车,深圳,17:10,深圳,当天17:10,17:10,广州东,18:35
C7149,动车,广州东,18:49,深圳,当天20:07,20:07,深圳,20:07
C7150,动车,深圳,20:20,深圳,当天20:20,20:20,广州东,21:38
C7151,动车,广州东,8:54,深圳,当天10:17,10:17,深圳,10:17
C7152,动车,深圳,10:34,深圳,当天10:34,10:34,广州东,11:59
C7153,动车,广州东,12:54,深圳,当天14:12,14:12,深圳,14:12
C7154,动车,深圳,14:26,深圳,当天14:26,14:26,广州东,15:48
C7155,动车,广州东,16:12,深圳,当天17:34,17:34,深圳,17:34
C7156,动车,深圳,17:56,深圳,当天17:56,17:56,广州东,19:24
C7157,动车,广州东,19:49,深圳,当天21:15,21:15,深圳,21:15
