车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
C6801,动车,惠州南,7:04,深圳北,当天07:36,7:36,深圳北,7:36
C6802,动车,深圳北,6:23,深圳北,当天06:23,6:23,惠州南,6:49
C6803,动车,深圳坪山,9:45,深圳北,当天10:11,10:11,深圳北,10:11
C6804,动车,深圳北,9:10,深圳北,当天09:10,9:10,深圳坪山,9:30
C6805,动车,深圳坪山,11:18,深圳北,当天11:42,11:42,深圳北,11:42
C6806,动车,深圳北,10:34,深圳北,当天10:34,10:34,深圳坪山,10:54
C6807,动车,深圳坪山,12:58,深圳北,当天13:23,13:23,深圳北,13:23
C6808,动车,深圳北,11:59,深圳北,当天11:59,11:59,深圳坪山,12:19
C6809,动车,深圳坪山,14:28,深圳北,当天14:52,14:52,深圳北,14:52
C6810,动车,深圳北,13:37,深圳北,当天13:37,13:37,深圳坪山,13:57
C6811,动车,深圳坪山,15:45,深圳北,当天16:11,16:11,深圳北,16:11
C6812,动车,深圳北,15:05,深圳北,当天15:05,15:05,深圳坪山,15:25
C6813,动车,深圳坪山,17:21,深圳北,当天17:47,17:47,深圳北,17:47
C6814,动车,深圳北,16:27,深圳北,当天16:27,16:27,深圳坪山,16:47
C6815,动车,惠州南,19:04,深圳北,当天19:44,19:44,深圳北,19:44
C6816,动车,深圳北,18:08,深圳北,当天18:08,18:08,惠州南,18:40
C6817,动车,深圳坪山,21:12,深圳北,当天21:38,21:38,深圳北,21:38
C6818,动车,深圳北,19:59,深圳北,当天19:59,19:59,深圳坪山,20:19
C6838,动车,深圳北,7:51,深圳北,当天07:51,7:51,深圳坪山,8:11
C6839,动车,深圳坪山,8:27,深圳北,当天08:50,8:50,深圳北,8:50
C7281,动车,汕尾,8:19,深圳北,当天09:28,9:28,深圳北,9:28
C7282,动车,深圳北,7:00,深圳北,当天07:00,7:00,汕尾,8:03
C7283,动车,汕尾,11:54,深圳北,当天13:04,13:04,深圳北,13:04
C7284,动车,深圳北,10:12,深圳北,当天10:12,10:12,汕尾,11:33
C7285,动车,汕尾,14:56,深圳北,当天16:17,16:17,深圳北,16:17
C7286,动车,深圳北,13:27,深圳北,当天13:27,13:27,汕尾,14:36
C7287,动车,汕尾,18:05,深圳北,当天19:15,19:15,深圳北,19:15
C7288,动车,深圳北,16:33,深圳北,当天16:33,16:33,汕尾,17:36
C7289,动车,汕尾,21:15,深圳北,当天22:25,22:25,深圳北,22:25
C7290,动车,深圳北,19:35,深圳北,当天19:35,19:35,汕尾,20:56
C7291,动车,深圳坪山,8:00,深圳北,当天08:26,8:26,深圳北,8:26
C7292,动车,深圳北,7:25,深圳北,当天07:25,7:25,深圳坪山,7:45
D2281,动车,南京,7:46,深圳北,当天21:53,21:53,深圳北,21:53
