车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
1147,普快,连云港东,16:15,郑州,当天00:24,0:44,宝鸡,10:36
1148,普快,宝鸡,16:08,郑州,第2日01:53,2:14,连云港东,9:51
1149,普快,宝鸡,16:08,郑州,第2日01:53,2:14,连云港东,9:52
1150,普快,连云港东,16:15,郑州,当天00:24,0:44,宝鸡,10:36
1303,普快,北京西,22:32,郑州,第2日09:23,9:23,郑州,9:23
1304,普快,郑州,8:10,郑州,当天----,8:10,北京西,21:31
1551,普快,太原,19:10,郑州,第2日06:12,6:20,连云港东,14:38
1552,普快,连云港东,15:46,郑州,当天23:43,0:02,太原,11:32
1553,普快,连云港东,15:46,郑州,当天23:43,0:02,太原,11:32
1554,普快,太原,19:10,郑州,第2日06:12,6:20,连云港东,14:38
2149,普快,日照,19:13,郑州,第2日05:46,5:46,郑州,5:46
2150,普快,郑州,21:10,郑州,当天----,21:10,日照,8:25
2152,普快,日照,19:13,郑州,第2日05:46,5:46,郑州,5:46
C2812,动车,新郑机场,21:44,郑州,当天22:10,22:10,郑州,22:10
C2833,动车,宋城路,21:51,郑州,当天22:41,22:41,郑州,22:41
C2841,动车,郑州,9:05,郑州,当天----,9:05,新郑机场,9:32
C2876,动车,新郑机场,9:20,郑州,当天09:45,9:50,焦作,10:24
C2877,动车,焦作,8:46,郑州,当天09:40,9:43,新郑机场,10:09
C2884,动车,新郑机场,15:29,郑州,当天15:54,16:00,焦作,16:42
C2885,动车,焦作,15:31,郑州,当天16:20,16:23,新郑机场,16:49
C2900,动车,新郑机场,12:06,郑州,当天12:31,12:37,焦作,13:11
C2902,动车,郑州,6:22,郑州,当天----,6:22,焦作,6:56
C2903,动车,焦作,11:12,郑州,当天11:46,11:46,郑州,11:46
C2905,动车,焦作,12:57,郑州,当天13:31,13:31,郑州,13:31
C2906,动车,郑州,12:01,郑州,当天----,12:01,焦作,12:38
C2907,动车,焦作,14:40,郑州,当天15:20,15:20,郑州,15:20
C2908,动车,郑州,13:51,郑州,当天----,13:51,焦作,14:25
C2909,动车,焦作,16:49,郑州,当天17:40,17:40,郑州,17:40
C2910,动车,郑州,15:41,郑州,当天----,15:41,焦作,16:27
C2911,动车,焦作,19:28,郑州,当天20:19,20:19,郑州,20:19
C2912,动车,郑州,18:00,郑州,当天----,18:00,焦作,18:58
C2913,动车,焦作,22:07,郑州,当天22:44,22:44,郑州,22:44
C2914,动车,郑州,20:35,郑州,当天----,20:35,焦作,21:09
C2921,动车,焦作,11:20,郑州,当天12:00,12:00,郑州,12:00
C2922,动车,郑州,7:10,郑州,当天----,7:10,焦作,8:08
C2923,动车,焦作,13:23,郑州,当天14:16,14:16,郑州,14:16
C2924,动车,郑州,12:15,郑州,当天----,12:15,焦作,13:03
C2925,动车,焦作,17:18,郑州,当天18:04,18:04,郑州,18:04
C2926,动车,郑州,14:32,郑州,当天----,14:32,焦作,15:12
C2951,动车,焦作,10:34,郑州,当天11:16,11:16,郑州,11:16
C2952,动车,郑州东,9:14,郑州,当天09:29,9:36,焦作,10:11
C2953,动车,郑州东,9:14,郑州,当天09:29,9:36,焦作,10:11
C2955,动车,焦作,12:30,郑州,当天13:18,13:18,郑州,13:18
C2956,动车,郑州,11:37,郑州,当天----,11:37,焦作,12:11
C2962,动车,郑州,9:09,郑州,当天----,9:09,焦作,9:48
C2963,动车,焦作,12:17,郑州,当天12:51,12:51,郑州,12:51
C2965,动车,焦作,13:58,郑州,当天14:32,14:32,郑州,14:32
C2966,动车,郑州,13:08,郑州,当天----,13:08,焦作,13:42
C2967,动车,焦作,16:16,郑州,当天16:58,16:58,郑州,16:58
C2968,动车,郑州,14:48,郑州,当天----,14:48,焦作,15:28
C2969,动车,焦作,19:59,郑州,当天20:34,20:34,郑州,20:34
C2970,动车,郑州,17:18,郑州,当天----,17:18,焦作,17:58
C2971,动车,焦作,22:30,郑州,当天23:05,23:05,郑州,23:05
