车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
C2801,动车,郑州东,6:26,郑州东,当天----,6:26,新郑机场,6:43
C2802,动车,新郑机场,7:00,郑州东,当天07:17,7:20,宋城路,7:53
C2803,动车,宋城路,8:30,郑州东,当天09:03,9:10,新郑机场,9:27
C2804,动车,新郑机场,10:00,郑州东,当天10:17,10:20,宋城路,10:53
C2805,动车,宋城路,11:30,郑州东,当天12:03,12:10,新郑机场,12:27
C2806,动车,新郑机场,13:00,郑州东,当天13:17,13:20,宋城路,13:53
C2807,动车,宋城路,14:30,郑州东,当天15:03,15:10,新郑机场,15:27
C2808,动车,新郑机场,16:00,郑州东,当天16:17,16:20,宋城路,16:53
C2809,动车,宋城路,17:30,郑州东,当天18:03,18:10,新郑机场,18:27
C2810,动车,新郑机场,19:00,郑州东,当天19:17,19:20,宋城路,19:53
C2811,动车,宋城路,20:30,郑州东,当天21:03,21:10,新郑机场,21:27
C2822,动车,郑州东,6:12,郑州东,当天----,6:12,宋城路,6:45
C2823,动车,宋城路,7:00,郑州东,当天07:33,7:40,新郑机场,7:57
C2824,动车,新郑机场,8:30,郑州东,当天08:47,8:50,宋城路,9:23
C2825,动车,宋城路,10:00,郑州东,当天10:33,10:40,新郑机场,10:57
C2826,动车,新郑机场,11:30,郑州东,当天11:47,11:50,宋城路,12:23
C2827,动车,宋城路,13:00,郑州东,当天13:33,13:40,新郑机场,13:57
C2828,动车,新郑机场,14:30,郑州东,当天14:47,14:50,宋城路,15:23
C2829,动车,宋城路,16:00,郑州东,当天16:33,16:40,新郑机场,16:57
C2830,动车,新郑机场,17:40,郑州东,当天17:57,18:00,宋城路,18:33
C2831,动车,宋城路,19:00,郑州东,当天19:33,19:40,新郑机场,19:57
C2832,动车,新郑机场,20:30,郑州东,当天20:47,20:50,宋城路,21:23
C2833,动车,宋城路,21:51,郑州东,当天22:24,22:27,郑州,22:41
C2848,动车,新郑机场,10:30,郑州东,当天10:47,10:47,郑州东,10:47
C2849,动车,郑州东,11:10,郑州东,当天----,11:10,新郑机场,11:27
C2850,动车,新郑机场,12:00,郑州东,当天12:17,12:17,郑州东,12:17
C2851,动车,郑州东,12:40,郑州东,当天----,12:40,新郑机场,12:57
C2852,动车,新郑机场,13:30,郑州东,当天13:47,13:47,郑州东,13:47
C2853,动车,郑州东,14:10,郑州东,当天----,14:10,新郑机场,14:27
C2854,动车,新郑机场,15:00,郑州东,当天15:17,15:17,郑州东,15:17
C2855,动车,郑州东,15:40,郑州东,当天----,15:40,新郑机场,15:57
C2856,动车,新郑机场,16:30,郑州东,当天16:47,16:47,郑州东,16:47
C2857,动车,郑州东,17:10,郑州东,当天----,17:10,新郑机场,17:27
C2858,动车,新郑机场,18:00,郑州东,当天18:17,18:17,郑州东,18:17
C2859,动车,郑州东,18:40,郑州东,当天----,18:40,新郑机场,18:57
C2860,动车,新郑机场,19:30,郑州东,当天19:47,19:47,郑州东,19:47
C2861,动车,郑州东,21:40,郑州东,当天----,21:40,新郑机场,21:57
C2862,动车,新郑机场,22:30,郑州东,当天22:47,22:47,郑州东,22:47
