,车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival
2,C6872,动车,肇庆,6:57,广州,当天08:08,8:08,广州,8:08,71,488
4,C6874,动车,肇庆,13:00,广州,当天14:26,14:26,广州,14:26,86,866
6,C6876,动车,肇庆,17:00,广州,当天18:26,18:26,广州,18:26,86,1106
8,D1851,动车,广元,11:10,广州,当天22:54,22:54,广州,22:54,704,1374
11,D1855,动车,绵阳,9:04,广州,当天19:09,19:09,广州,19:09,605,1149
14,D1859,动车,德阳,7:42,广州,当天17:31,17:31,广州,17:31,589,1051
17,D2879,动车,贵阳北,13:10,广州,当天19:00,19:00,广州,19:00,350,1140
20,D2997,动车,桂林北,8:15,广州,当天11:03,11:03,广州,11:03,168,663
22,D3679,动车,南宁东,9:45,广州,当天13:31,13:31,广州,13:31,226,811
27,K1006,快速,周口,12:12,广州,第2日08:58,8:58,广州,8:58,2686,538
28,K1007,快速,周口,12:00,广州,第2日08:50,8:50,广州,8:50,2690,530
30,K1079,快速,武昌,16:44,广州,第2日05:47,5:47,广州,5:47,2223,347
32,K1095,快速,巴中,12:31,广州,第2日13:20,13:20,广州,13:20,2929,800
34,K1098,快速,巴中,12:31,广州,第2日13:20,13:20,广州,13:20,2929,800
35,K1159,快速,烟台,9:23,广州,第2日20:44,20:44,广州,20:44,3561,1244
38,K1162,快速,烟台,9:23,广州,第2日20:44,20:44,广州,20:44,3561,1244
51,K1295,快速,银川,21:28,广州,第3日13:53,13:53,广州,13:53,3865,833
54,K1298,快速,银川,21:28,广州,第3日13:53,13:53,广州,13:53,3865,833
59,K191,快速,成都,8:37,广州,第2日10:10,10:10,广州,10:10,2973,610
62,K194,快速,成都,8:37,广州,第2日10:10,10:10,广州,10:10,2973,610
63,K201,快速,重庆西,10:38,广州,第2日11:38,11:38,广州,11:38,2940,698
66,K204,快速,重庆西,10:38,广州,第2日11:38,11:38,广州,11:38,2940,698
67,K209,快速,宁波,15:05,广州,第2日14:18,14:18,广州,14:18,2833,858
69,K212,快速,宁波,15:05,广州,第2日14:18,14:18,广州,14:18,2833,858
70,K225,快速,兰州,21:36,广州,第3日11:58,11:58,广州,11:58,3742,718
73,K228,快速,兰州,21:36,广州,第3日11:58,11:58,广州,11:58,3742,718
81,K301,快速,连云港东,11:17,广州,第2日14:42,14:42,广州,14:42,3085,882
83,K304,快速,连云港东,11:17,广州,第2日14:42,14:42,广州,14:42,3085,882
84,K325,快速,温州,17:15,广州,第2日16:16,16:16,广州,16:16,2821,976
86,K328,快速,温州,17:15,广州,第2日16:03,16:03,广州,16:03,2808,963
87,K355,快速,重庆西,23:23,广州,第3日05:06,5:06,广州,5:06,3223,306
90,K358,快速,重庆西,23:23,广州,第3日05:06,5:06,广州,5:06,3223,306
93,K366,快速,昆明,7:50,广州,第2日08:53,8:53,广州,8:53,2943,533
110,K4606,快速,宝鸡,16:15,广州,第2日00:30,0:30,广州,0:30,1935,30
122,K527,快速,南京,14:38,广州,第2日18:30,18:30,广州,18:30,3112,1110
132,K598,快速,包头,16:53,广州,第3日10:52,10:52,广州,10:52,3959,652
133,K599,快速,包头,16:53,广州,第3日10:52,10:52,广州,10:52,3959,652
135,K641,快速,十堰,17:00,广州,第2日12:05,12:05,广州,12:05,2585,725
138,K644,快速,十堰,17:00,广州,第2日12:05,12:05,广州,12:05,2585,725
149,K755,快速,洛阳,15:12,广州,第2日14:00,14:00,广州,14:00,2808,840
151,K758,快速,洛阳,15:12,广州,第2日14:00,14:00,广州,14:00,2808,840
153,K768,快速,汉中,13:35,广州,第2日17:44,17:44,广州,17:44,3129,1064
154,K769,快速,汉中,13:35,广州,第2日17:44,17:44,广州,17:44,3129,1064
160,K81,快速,西安,10:04,广州,第2日13:41,13:41,广州,13:41,3097,821
161,K812,快速,达州,17:14,广州,第2日18:55,18:55,广州,18:55,2981,1135
162,K813,快速,达州,17:14,广州,第2日18:55,18:55,广州,18:55,2981,1135
174,K84,快速,西安,10:04,广州,第2日13:41,13:41,广州,13:41,3097,821
176,K842,快速,贵阳,15:58,广州,第2日12:08,12:08,广州,12:08,2650,728
177,K843,快速,贵阳,15:58,广州,第2日12:08,12:08,广州,12:08,2650,728
180,K87,快速,景德镇北,14:59,广州,第2日07:36,7:36,广州,7:36,2437,456
190,K9031,快速,岳阳,19:26,广州,第2日06:28,6:28,广州,6:28,2102,388
193,K9046,快速,茂名,8:15,广州,当天13:05,13:05,广州,13:05,290,785
195,K9050,快速,信宜,14:18,广州,当天20:40,20:40,广州,20:40,382,1240
216,K9139,快速,信宜,13:22,广州,当天20:55,20:55,广州,20:55,453,1255
222,T122,特快,长春,21:28,广州,第3日10:40,10:40,广州,10:40,3672,640
223,T123,特快,长春,21:28,广州,第3日10:40,10:40,广州,10:40,3672,640
225,T151,特快,泰州,15:35,广州,第2日16:57,16:57,广州,16:57,2962,1017
227,T154,特快,泰州,15:35,广州,第2日16:57,16:57,广州,16:57,2962,1017
228,T169,特快,上海南,10:50,广州,第2日05:12,5:12,广州,5:12,2542,312
230,T179,特快,济南,17:19,广州,第2日16:30,16:30,广州,16:30,2831,990
232,T252,特快,天津,12:33,广州,第2日15:46,15:46,广州,15:46,3073,946
233,T253,特快,天津,12:33,广州,第2日15:46,15:46,广州,15:46,3073,946
