,车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival
3,C7002,动车,深圳,7:33,广州东,当天08:55,8:55,广州东,8:55,82,535
5,C7004,动车,深圳,10:58,广州东,当天12:23,12:23,广州东,12:23,85,743
7,C7006,动车,深圳,14:18,广州东,当天15:40,15:40,广州东,15:40,82,940
9,C7008,动车,深圳,17:44,广州东,当天19:07,19:07,广州东,19:07,83,1147
11,C7010,动车,深圳,21:04,广州东,当天22:27,22:27,广州东,22:27,83,1347
14,C7014,动车,深圳,8:40,广州东,当天09:59,10:05,广州东,9:59,79,599
16,C7016,动车,深圳,12:25,广州东,当天13:48,13:48,广州东,13:48,83,828
18,C7018,动车,深圳,15:52,广州东,当天17:11,17:11,广州东,17:11,79,1031
20,C7020,动车,深圳,19:13,广州东,当天20:36,20:36,广州东,20:36,83,1236
22,C7022,动车,深圳,22:22,广州东,当天23:41,23:41,广州东,23:41,79,1421
24,C7024,动车,深圳,7:46,广州东,当天09:11,9:11,广州东,9:11,85,551
26,C7026,动车,深圳,11:16,广州东,当天12:39,12:39,广州东,12:39,83,759
28,C7028,动车,深圳,14:55,广州东,当天16:13,16:13,广州东,16:13,78,973
30,C7030,动车,深圳,18:17,广州东,当天19:39,19:39,广州东,19:39,82,1179
32,C7032,动车,深圳,14:34,广州东,当天15:57,16:00,广州东,15:57,83,957
34,C7034,动车,深圳,18:25,广州东,当天19:47,19:47,广州东,19:47,82,1187
36,C7036,动车,深圳,21:53,广州东,当天23:15,23:15,广州东,23:15,82,1395
38,C7046,动车,深圳,8:09,广州东,当天09:31,9:31,广州东,9:31,82,571
40,C7048,动车,深圳,11:38,广州东,当天12:57,12:57,广州东,12:57,79,777
42,C7050,动车,深圳,15:15,广州东,当天16:37,16:37,广州东,16:37,82,997
44,C7052,动车,深圳,18:44,广州东,当天20:11,20:18,广州东,20:11,87,1211
46,C7054,动车,深圳,22:35,广州东,当天23:54,23:54,广州东,23:54,79,1434
48,C7056,动车,深圳,8:20,广州东,当天09:39,9:39,广州东,9:39,79,579
50,C7058,动车,深圳,11:47,广州东,当天13:06,13:06,广州东,13:06,79,786
52,C7060,动车,深圳,15:23,广州东,当天16:46,16:46,广州东,16:46,83,1006
54,C7062,动车,深圳,18:52,广州东,当天20:18,20:18,广州东,20:18,86,1218
56,C7064,动车,深圳,22:06,广州东,当天23:28,23:28,广州东,23:28,82,1408
58,C7066,动车,深圳,8:29,广州东,当天09:48,9:48,广州东,9:48,79,588
60,C7068,动车,深圳,11:58,广州东,当天13:18,13:21,广州东,13:18,80,798
62,C7070,动车,深圳,15:41,广州东,当天17:01,17:06,广州东,17:01,80,1021
64,C7072,动车,深圳,19:36,广州东,当天20:55,21:01,广州东,20:55,79,1255
66,C7074,动车,深圳,6:44,广州东,当天08:07,8:07,广州东,8:07,83,487
68,C7076,动车,深圳,10:04,广州东,当天11:27,11:27,广州东,11:27,83,687
70,C7078,动车,深圳,13:17,广州东,当天14:39,14:39,广州东,14:39,82,879
72,C7080,动车,深圳,16:56,广州东,当天18:20,18:28,广州东,18:20,84,1100
74,C7082,动车,深圳,20:39,广州东,当天22:02,22:02,广州东,22:02,83,1322
76,C7084,动车,深圳,8:53,广州东,当天10:15,10:15,广州东,10:15,82,615
78,C7086,动车,深圳,19:03,广州东,当天20:28,20:28,广州东,20:28,85,1228
80,C7092,动车,深圳,9:03,广州东,当天10:25,10:25,广州东,10:25,82,625
