,车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival
2,C7202,动车,阳江,9:13,广州南,当天11:24,11:24,广州南,11:24,131,684
4,C7204,动车,阳江,14:10,广州南,当天16:09,16:09,广州南,16:09,119,969
6,C7206,动车,阳江,18:41,广州南,当天20:33,20:33,广州南,20:33,112,1233
8,C7208,动车,阳江,8:23,广州南,当天09:52,9:52,广州南,9:52,89,592
9,C7210,动车,阳江,9:59,广州南,当天11:49,11:49,广州南,11:49,110,709
11,C7212,动车,阳江,14:52,广州南,当天16:53,16:53,广州南,16:53,121,1013
13,C7214,动车,阳江,19:18,广州南,当天21:10,21:10,广州南,21:10,112,1270
15,C7216,动车,阳江,6:47,广州南,当天08:31,8:31,广州南,8:31,104,511
17,C7218,动车,阳江,11:43,广州南,当天13:34,13:34,广州南,13:34,111,814
19,C7220,动车,阳江,16:32,广州南,当天18:17,18:17,广州南,18:17,105,1097
21,C7222,动车,阳江,21:15,广州南,当天23:19,23:19,广州南,23:19,124,1399
23,C7224,动车,阳江,7:58,广州南,当天09:58,9:58,广州南,9:58,120,598
25,C7226,动车,阳江,12:42,广州南,当天14:28,14:28,广州南,14:28,106,868
27,C7228,动车,阳江,17:06,广州南,当天18:54,18:54,广州南,18:54,108,1134
28,C7230,动车,新会,6:56,广州南,当天07:40,7:40,广州南,7:40,44,460
29,C7236,动车,新会,6:32,广州南,当天07:20,7:20,广州南,7:20,48,440
31,C7602,动车,珠海,7:34,广州南,当天08:52,8:52,广州南,8:52,78,532
33,C7604,动车,珠海,10:45,广州南,当天12:05,12:05,广州南,12:05,80,725
35,C7606,动车,珠海,13:52,广州南,当天14:54,14:54,广州南,14:54,62,894
37,C7608,动车,珠海,16:34,广州南,当天17:38,17:38,广州南,17:38,64,1058
39,C7610,动车,珠海,19:34,广州南,当天20:41,20:41,广州南,20:41,67,1241
41,C7612,动车,珠海,22:41,广州南,当天23:39,23:39,广州南,23:39,58,1419
43,C7618,动车,珠海,14:11,广州南,当天15:19,15:19,广州南,15:19,68,919
45,C7620,动车,珠海,17:11,广州南,当天18:23,18:23,广州南,18:23,72,1103
47,C7622,动车,珠海,19:54,广州南,当天20:58,20:58,广州南,20:58,64,1258
49,C7624,动车,珠海,22:55,广州南,当天23:54,23:54,广州南,23:54,59,1434
51,C7626,动车,珠海,8:53,广州南,当天10:08,10:08,广州南,10:08,75,608
53,C7628,动车,珠海,11:55,广州南,当天12:58,12:58,广州南,12:58,63,778
55,C7630,动车,珠海,14:50,广州南,当天15:58,15:58,广州南,15:58,68,958
57,C7632,动车,珠海,17:39,广州南,当天18:49,18:49,广州南,18:49,70,1129
59,C7634,动车,珠海,20:32,广州南,当天21:44,21:44,广州南,21:44,72,1304
61,C7636,动车,珠海,6:30,广州南,当天07:28,7:28,广州南,7:28,58,448
63,C7638,动车,珠海,9:35,广州南,当天10:44,10:44,广州南,10:44,69,644
65,C7640,动车,珠海,12:42,广州南,当天13:59,13:59,广州南,13:59,77,839
67,C7642,动车,珠海,15:40,广州南,当天16:37,16:37,广州南,16:37,57,997
69,C7644,动车,珠海,18:34,广州南,当天19:46,19:46,广州南,19:46,72,1186
71,C7646,动车,珠海,21:30,广州南,当天22:33,22:33,广州南,22:33,63,1353
73,C7650,动车,珠海,11:20,广州南,当天12:46,12:46,广州南,12:46,86,766
75,C7652,动车,珠海,14:25,广州南,当天15:35,15:35,广州南,15:35,70,935
77,C7654,动车,珠海,17:15,广州南,当天18:18,18:18,广州南,18:18,63,1098
79,C7656,动车,珠海,20:15,广州南,当天21:18,21:18,广州南,21:18,63,1278
81,C7660,动车,珠海,8:35,广州南,当天09:33,9:33,广州南,9:33,58,573
83,C7662,动车,珠海,11:30,广州南,当天12:46,12:46,广州南,12:46,76,766
85,C7664,动车,珠海,14:40,广州南,当天15:44,15:44,广州南,15:44,64,944
87,C7666,动车,珠海,17:24,广州南,当天18:28,18:28,广州南,18:28,64,1108
89,C7668,动车,珠海,20:15,广州南,当天21:18,21:18,广州南,21:18,63,1278
91,C7670,动车,珠海,6:45,广州南,当天08:01,8:01,广州南,8:01,76,481
93,C7672,动车,珠海,9:51,广州南,当天11:01,11:01,广州南,11:01,70,661
95,C7674,动车,珠海,13:10,广州南,当天14:18,14:18,广州南,14:18,68,858
97,C7676,动车,珠海,16:00,广州南,当天17:10,17:10,广州南,17:10,70,1030
99,C7684,动车,珠海,12:21,广州南,当天13:24,13:24,广州南,13:24,63,804
101,C7686,动车,珠海,15:15,广州南,当天16:18,16:18,广州南,16:18,63,978
103,C7688,动车,珠海,17:59,广州南,当天19:14,19:14,广州南,19:14,75,1154
105,C7690,动车,珠海,21:03,广州南,当天22:19,22:19,广州南,22:19,76,1339
107,C7692,动车,珠海,7:03,广州南,当天08:21,8:21,广州南,8:21,78,501
109,C7694,动车,珠海,10:30,广州南,当天11:39,11:39,广州南,11:39,69,699
111,C7696,动车,珠海,13:20,广州南,当天14:23,14:23,广州南,14:23,63,863
113,C7698,动车,珠海,16:12,广州南,当天17:25,17:25,广州南,17:25,73,1045
115,C7704,动车,珠海,9:15,广州南,当天10:13,10:13,广州南,10:13,58,613
117,C7706,动车,珠海,12:35,广州南,当天13:50,13:50,广州南,13:50,75,830
119,C7708,动车,珠海,15:30,广州南,当天16:32,16:32,广州南,16:32,62,992
121,C7710,动车,珠海,18:26,广州南,当天19:19,19:19,广州南,19:19,53,1159
123,C7712,动车,珠海,19:00,广州南,当天20:19,20:19,广州南,20:19,79,1219
125,C7714,动车,珠海,22:21,广州南,当天23:34,23:34,广州南,23:34,73,1414
127,C7732,动车,珠海,9:42,广州南,当天10:49,10:49,广州南,10:49,67,649
129,C7734,动车,珠海,14:22,广州南,当天15:34,15:34,广州南,15:34,72,934
131,C7736,动车,珠海,18:50,广州南,当天19:51,19:51,广州南,19:51,61,1191
133,C7764,动车,珠海,7:55,广州南,当天09:07,9:07,广州南,9:07,72,547
135,C7766,动车,珠海,12:11,广州南,当天13:19,13:19,广州南,13:19,68,799
137,C7768,动车,珠海,17:00,广州南,当天17:57,17:57,广州南,17:57,57,1077
139,C7770,动车,珠海,22:05,广州南,当天23:13,23:13,广州南,23:13,68,1393
141,C7772,动车,珠海,11:05,广州南,当天12:15,12:15,广州南,12:15,70,735
143,C7774,动车,珠海,15:49,广州南,当天17:04,17:04,广州南,17:04,75,1024
145,C7776,动车,珠海,20:46,广州南,当天22:03,22:03,广州南,22:03,77,1323
146,D1751,动车,成都东,7:20,广州南,当天15:08,15:08,广州南,15:08,468,908
148,D1753,动车,成都东,10:55,广州南,当天19:55,19:55,广州南,19:55,540,1195
150,D1755,动车,成都东,11:30,广州南,当天20:24,20:24,广州南,20:24,534,1224
152,D1761,动车,成都东,11:40,广州南,当天20:39,20:39,广州南,20:39,539,1239
154,D1763,动车,成都东,12:37,广州南,当天21:33,21:33,广州南,21:33,536,1293
156,D1765,动车,成都东,15:55,广州南,当天23:45,23:45,广州南,23:45,470,1425
158,D1801,动车,成都东,8:15,广州南,当天16:32,16:32,广州南,16:32,497,992
160,D1809,动车,成都东,7:41,广州南,当天17:51,17:51,广州南,17:51,610,1071
162,D1812,动车,成都东,7:41,广州南,当天17:51,17:51,广州南,17:51,610,1071
163,D1817,动车,成都东,10:12,广州南,当天19:40,19:40,广州南,19:40,568,1180
166,D1820,动车,成都东,10:12,广州南,当天19:40,19:40,广州南,19:40,568,1180
167,D1821,动车,成都东,11:50,广州南,当天20:58,20:58,广州南,20:58,548,1258
169,D1825,动车,成都东,13:22,广州南,当天22:20,22:20,广州南,22:20,538,1340
171,D1833,动车,成都东,14:13,广州南,当天23:50,23:50,广州南,23:50,577,1430
176,D1861,动车,重庆西,7:19,广州南,当天14:53,14:53,广州南,14:53,454,893
179,D1865,动车,重庆西,8:54,广州南,当天16:22,16:22,广州南,16:22,448,982
180,D1867,动车,重庆西,9:53,广州南,当天17:45,17:45,广州南,17:45,472,1065
182,D1869,动车,重庆西,10:26,广州南,当天18:36,18:36,广州南,18:36,490,1116
184,D1871,动车,重庆西,14:08,广州南,当天21:39,21:39,广州南,21:39,451,1299
187,D1875,动车,重庆西,14:48,广州南,当天22:08,22:08,广州南,22:08,440,1328
188,D1877,动车,重庆西,16:10,广州南,当天23:30,23:30,广州南,23:30,440,1410
