,车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival
1,1227,普快,阜新南,16:48,上海,第2日18:26,18:26,上海,18:26,2978,1106
4,1230,普快,阜新南,16:48,上海,第2日18:26,18:26,上海,18:26,2978,1106
5,1461,普快,北京,11:55,上海,第2日07:00,7:00,上海,7:00,2585,420
7,3215,普快,成都,3:55,上海,第2日13:13,13:13,上海,13:13,3438,793
10,3218,普快,成都,3:55,上海,第2日13:13,13:13,上海,13:13,3438,793
11,3255,普快,成都,22:28,上海,第3日15:52,15:52,上海,15:52,3924,952
14,3258,普快,成都,22:28,上海,第3日15:52,15:52,上海,15:52,3924,952
15,3555,普快,信阳,12:40,上海,第2日04:49,4:49,上海,4:49,2409,289
16,4310,普快,通辽,12:43,上海,第2日18:26,18:26,上海,18:26,3223,1106
17,D305,动车,西安北,19:35,上海,第2日06:20,6:20,上海,6:20,2085,380
20,D308,动车,西安北,19:35,上海,第2日06:20,6:20,上海,6:20,2085,380
21,D309,动车,兰州西,17:15,上海,第2日06:26,6:26,上海,6:26,2231,386
24,D312,动车,兰州西,17:15,上海,第2日06:26,6:26,上海,6:26,2231,386
27,D701,动车,北京,19:22,上海,第2日07:26,7:26,上海,7:26,2164,446
29,D705,动车,北京,21:21,上海,第2日09:21,9:21,上海,9:21,2160,561
31,D709,动车,北京南,19:46,上海,第2日07:46,7:46,上海,7:46,2160,466
34,D906,动车,深圳北,20:04,上海,第2日07:06,7:06,上海,7:06,2102,426
35,D951,动车,成都东,7:47,上海,当天20:27,20:27,上海,20:27,760,1227
38,D954,动车,成都东,7:47,上海,当天20:27,20:27,上海,20:27,760,1227
39,D955,动车,重庆北,7:59,上海,当天18:25,18:25,上海,18:25,626,1105
42,D9577,动车,徐州,12:45,上海,当天18:48,18:48,上海,18:48,363,1128
44,D9579,动车,徐州,13:52,上海,当天19:58,19:58,上海,19:58,366,1198
45,D958,动车,重庆北,7:59,上海,当天18:25,18:25,上海,18:25,626,1105
48,G129,高速,北京南,12:10,上海,当天18:07,18:07,上海,18:07,357,1087
50,G15,高速,北京南,18:00,上海,当天22:43,22:43,上海,22:43,283,1363
52,G21,高速,北京南,19:08,上海,当天23:40,23:40,上海,23:40,272,1420
55,G233,高速,青岛,16:22,上海,当天23:10,23:10,上海,23:10,408,1390
56,G236,高速,青岛,16:22,上海,当天23:10,23:10,上海,23:10,408,1390
57,G415,高速,北京南,6:19,上海,当天12:23,12:23,上海,12:23,364,743
59,G441,高速,天津西,8:45,上海,当天14:57,14:57,上海,14:57,372,897
61,G5,高速,北京南,7:00,上海,当天11:40,11:40,上海,11:40,280,700
63,G7001,高速,南京,7:00,上海,当天08:40,8:40,上海,8:40,100,520
65,G7003,高速,南京,8:00,上海,当天09:39,9:39,上海,9:39,99,579
67,G7005,高速,南京,9:00,上海,当天10:39,10:39,上海,10:39,99,639
69,G7007,高速,南京,10:00,上海,当天11:47,11:47,上海,11:47,107,707
71,G7009,高速,南京,11:00,上海,当天12:39,12:39,上海,12:39,99,759
73,G7011,高速,南京,12:00,上海,当天13:40,13:40,上海,13:40,100,820
75,G7013,高速,南京,13:00,上海,当天14:39,14:39,上海,14:39,99,879
77,G7015,高速,南京,14:00,上海,当天15:40,15:40,上海,15:40,100,940
79,G7017,高速,南京,15:00,上海,当天16:40,16:40,上海,16:40,100,1000
81,G7019,高速,南京,16:00,上海,当天17:40,17:40,上海,17:40,100,1060
83,G7021,高速,南京,17:00,上海,当天18:41,18:41,上海,18:41,101,1121
85,G7023,高速,南京,18:00,上海,当天19:40,19:40,上海,19:40,100,1180
87,G7025,高速,南京,19:00,上海,当天20:40,20:40,上海,20:40,100,1240
89,G7027,高速,南京,20:00,上海,当天21:49,21:49,上海,21:49,109,1309
91,G7029,高速,南京,5:36,上海,当天07:30,7:30,上海,7:30,114,450
93,G7031,高速,南京南,5:54,上海,当天07:54,7:54,上海,7:54,120,474
95,G7033,高速,常州,7:00,上海,当天08:18,8:18,上海,8:18,78,498
97,G7035,高速,南京,6:30,上海,当天08:35,8:35,上海,8:35,125,515
99,G7037,高速,南京南,6:40,上海,当天08:58,8:58,上海,8:58,138,538
101,G7039,高速,南京,7:15,上海,当天09:15,9:15,上海,9:15,120,555
103,G7041,高速,南京,15:47,上海,当天17:50,17:50,上海,17:50,123,1070
105,G7043,高速,南京南,7:12,上海,当天09:35,9:35,上海,9:35,143,575
107,G7045,高速,南京,9:28,上海,当天11:35,11:35,上海,11:35,127,695
109,G7047,高速,南京,10:10,上海,当天12:07,12:07,上海,12:07,117,727
111,G7049,高速,南京,11:41,上海,当天13:48,13:48,上海,13:48,127,828
113,G7051,高速,南京,12:08,上海,当天14:12,14:12,上海,14:12,124,852
115,G7053,高速,南京,13:08,上海,当天15:15,15:15,上海,15:15,127,915
117,G7055,高速,南京,13:54,上海,当天15:51,15:51,上海,15:51,117,951
119,G7057,高速,南京,14:28,上海,当天16:28,16:28,上海,16:28,120,988
121,G7059,高速,南京,15:05,上海,当天16:59,16:59,上海,16:59,114,1019
125,G7063,高速,南京,16:13,上海,当天18:21,18:21,上海,18:21,128,1101
126,G7065,高速,南京,18:09,上海,当天20:14,20:14,上海,20:14,125,1214
129,G7069,高速,南京,20:39,上海,当天22:33,22:33,上海,22:33,114,1353
131,G7071,高速,安庆,8:22,上海,当天12:35,12:35,上海,12:35,253,755
134,G7074,高速,安庆,8:22,上海,当天12:35,12:35,上海,12:35,253,755
135,G7075,高速,安庆,9:10,上海,当天13:21,13:21,上海,13:21,251,801
138,G7078,高速,安庆,9:10,上海,当天13:21,13:21,上海,13:21,251,801
139,G7079,高速,安庆,11:00,上海,当天15:20,15:20,上海,15:20,260,920
142,G7082,高速,安庆,11:00,上海,当天15:20,15:20,上海,15:20,260,920
143,G7083,高速,安庆,15:21,上海,当天19:36,19:36,上海,19:36,255,1176
146,G7086,高速,安庆,15:21,上海,当天19:36,19:36,上海,19:36,255,1176
147,G7087,高速,安庆,17:11,上海,当天21:09,21:09,上海,21:09,238,1269
150,G7090,高速,安庆,17:11,上海,当天21:09,21:09,上海,21:09,238,1269
151,G7091,高速,安庆,18:48,上海,当天22:48,22:48,上海,22:48,240,1368
154,G7094,高速,安庆,18:48,上海,当天22:48,22:48,上海,22:48,240,1368
155,G7095,高速,无锡,20:13,上海,当天21:13,21:13,上海,21:13,60,1273
157,G7097,高速,南京,18:38,上海,当天20:44,20:44,上海,20:44,126,1244
159,G7099,高速,南京,18:54,上海,当天20:59,20:59,上海,20:59,125,1259
161,G7201,高速,无锡,10:27,上海,当天11:31,11:31,上海,11:31,64,691
163,G7203,高速,苏州,6:53,上海,当天07:25,7:25,上海,7:25,32,445
164,G7205,高速,苏州,9:24,上海,当天10:03,10:03,上海,10:03,39,603
166,G7207,高速,苏州,18:26,上海,当天19:07,19:07,上海,19:07,41,1147
168,G7209,高速,苏州,7:26,上海,当天08:07,8:07,上海,8:07,41,487
170,G7211,高速,常州,6:35,上海,当天07:42,7:42,上海,7:42,67,462
172,G7213,高速,苏州,6:40,上海,当天07:19,7:19,上海,7:19,39,439
174,G7215,高速,昆山南,6:50,上海,当天07:15,7:15,上海,7:15,25,435
175,G7217,高速,芜湖,19:12,上海,当天21:59,21:59,上海,21:59,167,1319
178,G7220,高速,芜湖,19:12,上海,当天21:59,21:59,上海,21:59,167,1319
179,G7221,高速,淮南南,8:05,上海,当天12:17,12:17,上海,12:17,252,737
182,G7224,高速,淮南南,8:05,上海,当天12:17,12:17,上海,12:17,252,737
183,G7225,高速,芜湖,7:28,上海,当天10:18,10:18,上海,10:18,170,618
186,G7228,高速,芜湖,7:28,上海,当天10:18,10:18,上海,10:18,170,618
187,G7229,高速,南京南,12:59,上海,当天15:02,15:02,上海,15:02,123,902
188,G7231,高速,六安,12:33,上海,当天16:09,16:09,上海,16:09,216,969
191,G7234,高速,六安,12:33,上海,当天16:09,16:09,上海,16:09,216,969
192,G7235,高速,苏州,16:54,上海,当天17:32,17:32,上海,17:32,38,1052
195,G7239,高速,六安,15:22,上海,当天19:18,19:18,上海,19:18,236,1158
198,G7242,高速,六安,15:22,上海,当天19:18,19:18,上海,19:18,236,1158
199,G7243,高速,合肥南,15:30,上海,当天18:36,18:36,上海,18:36,186,1116
202,G7246,高速,合肥南,15:30,上海,当天18:36,18:36,上海,18:36,186,1116
203,G7247,高速,合肥南,16:44,上海,当天19:50,19:50,上海,19:50,186,1190
206,G7250,高速,合肥南,16:44,上海,当天19:50,19:50,上海,19:50,186,1190
207,G7251,高速,合肥南,18:35,上海,当天21:29,21:29,上海,21:29,174,1289
210,G7254,高速,合肥南,18:35,上海,当天21:29,21:29,上海,21:29,174,1289
211,G7255,高速,合肥南,7:43,上海,当天10:57,10:57,上海,10:57,194,657
214,G7258,高速,合肥南,7:43,上海,当天10:57,10:57,上海,10:57,194,657
215,G7259,高速,合肥,7:56,上海,当天10:13,10:13,上海,10:13,137,613
218,G7262,高速,合肥,7:56,上海,当天10:13,10:13,上海,10:13,137,613
219,G7263,高速,合肥南,14:39,上海,当天17:21,17:21,上海,17:21,162,1041
222,G7266,高速,合肥南,14:39,上海,当天17:21,17:21,上海,17:21,162,1041
223,G7267,高速,淮南南,15:33,上海,当天19:11,19:11,上海,19:11,218,1151
226,G7270,高速,淮南南,15:33,上海,当天19:11,19:11,上海,19:11,218,1151
227,G7271,高速,芜湖,6:42,上海,当天09:30,9:30,上海,9:30,168,570
230,G7274,高速,芜湖,6:42,上海,当天09:30,9:30,上海,9:30,168,570
231,G7275,高速,界首南,17:58,上海,当天21:55,21:55,上海,21:55,237,1315
