,车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival
1,D2205,动车,成都东,8:07,上海虹桥,当天22:24,22:24,上海虹桥,22:24,857,1344
4,D2208,动车,成都东,8:07,上海虹桥,当天22:24,22:24,上海虹桥,22:24,857,1344
5,D2211,动车,重庆北,7:14,上海虹桥,当天19:20,19:20,上海虹桥,19:20,726,1160
8,D2214,动车,重庆北,7:14,上海虹桥,当天19:20,19:20,上海虹桥,19:20,726,1160
9,D2215,动车,重庆北,8:38,上海虹桥,当天20:29,20:29,上海虹桥,20:29,711,1229
12,D2218,动车,重庆北,8:38,上海虹桥,当天20:29,20:29,上海虹桥,20:29,711,1229
16,D2284,动车,深圳北,8:48,上海虹桥,当天20:44,20:44,上海虹桥,20:44,716,1244
18,D2286,动车,深圳北,9:58,上海虹桥,当天22:12,22:12,上海虹桥,22:12,734,1332
20,D2288,动车,深圳北,10:46,上海虹桥,当天22:36,22:36,上海虹桥,22:36,710,1356
21,D3005,动车,宜昌东,6:55,上海虹桥,当天15:15,15:15,上海虹桥,15:15,500,915
24,D3008,动车,宜昌东,6:55,上海虹桥,当天15:15,15:15,上海虹桥,15:15,500,915
25,D3009,动车,汉口,8:30,上海虹桥,当天14:21,14:21,上海虹桥,14:21,351,861
28,D3012,动车,汉口,8:30,上海虹桥,当天14:21,14:21,上海虹桥,14:21,351,861
29,D3013,动车,汉口,7:59,上海虹桥,当天13:22,13:22,上海虹桥,13:22,323,802
32,D3016,动车,汉口,7:59,上海虹桥,当天13:22,13:22,上海虹桥,13:22,323,802
33,D3021,动车,武昌,15:43,上海虹桥,当天21:37,21:37,上海虹桥,21:37,354,1297
36,D3024,动车,武昌,15:43,上海虹桥,当天21:37,21:37,上海虹桥,21:37,354,1297
37,D3025,动车,汉口,7:31,上海虹桥,当天13:06,13:06,上海虹桥,13:06,335,786
40,D3028,动车,汉口,7:31,上海虹桥,当天13:06,13:06,上海虹桥,13:06,335,786
41,D3031,高速,宜昌东,6:33,上海虹桥,当天14:47,14:47,上海虹桥,14:47,494,887
44,D3034,高速,宜昌东,6:33,上海虹桥,当天14:47,14:47,上海虹桥,14:47,494,887
45,D3041,动车,武昌,9:40,上海虹桥,当天16:00,16:00,上海虹桥,16:00,380,960
48,D3044,动车,武昌,9:40,上海虹桥,当天16:00,16:00,上海虹桥,16:00,380,960
49,D3045,动车,武昌,11:25,上海虹桥,当天17:28,17:28,上海虹桥,17:28,363,1048
52,D3048,动车,武昌,11:25,上海虹桥,当天17:28,17:28,上海虹桥,17:28,363,1048
53,D3055,动车,南充北,7:05,上海虹桥,当天21:19,21:19,上海虹桥,21:19,854,1279
56,D3058,动车,南充北,7:05,上海虹桥,当天21:19,21:19,上海虹桥,21:19,854,1279
73,D3089,动车,汉口,15:36,上海虹桥,当天20:50,20:50,上海虹桥,20:50,314,1250
76,D3092,动车,汉口,15:36,上海虹桥,当天20:50,20:50,上海虹桥,20:50,314,1250
78,D3102,动车,福州,7:40,上海虹桥,当天14:14,14:14,上海虹桥,14:14,394,854
80,D3104,动车,莆田,7:50,上海虹桥,当天15:24,15:24,上海虹桥,15:24,454,924
82,D3108,动车,深圳北,10:41,上海虹桥,当天22:27,22:27,上海虹桥,22:27,706,1347
