,车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival,short_shift
2,3148,普快,重庆西,19:15,上海南,第3日02:29,2:29,上海南,2:29,3314,149,False
5,D3063,动车,汉口,16:38,上海南,当天22:47,22:47,上海南,22:47,369,1367,False
8,D3066,动车,汉口,16:38,上海南,当天22:47,22:47,上海南,22:47,369,1367,False
9,D3067,动车,汉口,15:50,上海南,当天22:13,22:13,上海南,22:13,383,1333,False
12,D3070,动车,汉口,15:50,上海南,当天22:13,22:13,上海南,22:13,383,1333,False
13,D3071,动车,重庆北,6:41,上海南,当天19:21,19:21,上海南,19:21,760,1161,False
16,D3074,动车,重庆北,6:41,上海南,当天19:21,19:21,上海南,19:21,760,1161,False
18,D5404,动车,杭州,16:00,上海南,当天17:42,17:42,上海南,17:42,102,1062,True
20,D5482,动车,金华,12:11,上海南,当天15:21,15:21,上海南,15:21,190,921,False
22,D5484,动车,开化,8:30,上海南,当天13:15,13:15,上海南,13:15,285,795,False
24,D5486,动车,开化,15:52,上海南,当天20:28,20:28,上海南,20:28,276,1228,False
28,D772,动车,九江,16:02,上海南,当天23:02,23:02,上海南,23:02,420,1382,False
29,K1105,快速,南阳,18:40,上海南,第2日12:41,12:41,上海南,12:41,2521,761,False
32,K1108,快速,南阳,18:40,上海南,第2日12:41,12:41,上海南,12:41,2521,761,False
34,K112,快速,贵阳,9:32,上海南,第2日12:47,12:47,上海南,12:47,3075,767,False
35,K1125,快速,襄州,14:30,上海南,第2日07:58,7:58,上海南,7:58,2488,478,False
38,K1128,快速,襄州,14:30,上海南,第2日07:58,7:58,上海南,7:58,2488,478,False
40,K1186,快速,九江,18:05,上海南,第2日07:06,7:06,上海南,7:06,2221,426,False
41,K1187,快速,九江,18:05,上海南,第2日07:06,7:06,上海南,7:06,2221,426,False
44,K121,快速,十堰,11:30,上海南,第2日11:40,11:40,上海南,11:40,2890,700,False
45,K1210,快速,厦门北,12:23,上海南,第2日09:39,9:39,上海南,9:39,2716,579,False
48,K124,快速,十堰,11:30,上海南,第2日11:40,11:40,上海南,11:40,2890,700,False
50,K1372,快速,九江,19:52,上海南,第2日04:15,4:15,上海南,4:15,1943,255,False
52,K1374,快速,怀化,15:08,上海南,第2日15:12,15:12,上海南,15:12,2884,912,False
53,K1375,快速,怀化,15:08,上海南,第2日15:12,15:12,上海南,15:12,2884,912,False
56,K150,快速,湛江,22:45,上海南,第3日06:12,6:12,上海南,6:12,3327,372,False
63,K251,快速,荆门,15:00,上海南,第2日13:47,13:47,上海南,13:47,2807,827,False
66,K254,快速,荆门,15:00,上海南,第2日13:47,13:47,上海南,13:47,2807,827,False
68,K272,快速,井冈山,18:18,上海南,第2日07:46,7:46,上海南,7:46,2248,466,False
70,K288,快速,南昌,21:02,上海南,第2日06:28,6:28,上海南,6:28,2006,388,False
76,K352,快速,成都,19:20,上海南,第3日12:35,12:35,上海南,12:35,3915,755,False
77,K353,快速,成都,19:20,上海南,第3日12:35,12:35,上海南,12:35,3915,755,False
81,K4178,快速,贵阳,12:14,上海南,第2日20:51,20:51,上海南,20:51,3397,1251,False
85,K4418,快速,昆明,23:55,上海南,第3日21:37,21:37,上海南,21:37,4182,1297,False
90,K4672,快速,南充北,9:31,上海南,第2日23:28,23:28,上海南,23:28,3717,1408,False
97,K496,快速,六盘水,10:47,上海南,第2日16:56,16:56,上海南,16:56,3249,1016,False
100,K512,快速,海口,19:30,上海南,第3日08:49,8:49,上海南,8:49,3679,529,False
106,K534,快速,怀化,13:55,上海南,第2日10:00,10:00,上海南,10:00,2645,600,False
108,K576,快速,永州,15:34,上海南,第2日11:18,11:18,上海南,11:18,2624,678,False
111,K72,快速,重庆北,9:25,上海南,第2日12:15,12:15,上海南,12:15,3050,735,False
112,K73,快速,重庆北,9:25,上海南,第2日12:15,12:15,上海南,12:15,3050,735,False
115,K740,快速,昆明,23:35,上海南,第3日14:33,14:33,上海南,14:33,3778,873,False
117,K752,快速,信阳,13:30,上海南,第2日05:26,5:26,上海南,5:26,2396,326,False
118,K753,快速,信阳,13:30,上海南,第2日05:26,5:26,上海南,5:26,2396,326,False
121,K760,快速,衡阳,19:31,上海南,第2日12:09,12:09,上海南,12:09,2438,729,False
123,K80,快速,昆明,19:03,上海南,第3日05:16,5:16,上海南,5:16,3493,316,False
129,K834,快速,贵阳,20:50,上海南,第2日23:38,23:38,上海南,23:38,3048,1418,False
137,T102,特快,深圳,16:02,上海南,第2日11:06,11:06,上海南,11:06,2584,666,False
141,T170,特快,广州,15:02,上海南,第2日09:13,9:13,上海南,9:13,2531,553,False
143,T212,特快,深圳,12:53,上海南,第2日08:18,8:18,上海南,8:18,2605,498,False
145,T26,特快,南宁,14:56,上海南,第2日15:04,15:04,上海南,15:04,2888,904,False
147,T382,特快,昆明,21:14,上海南,第3日11:34,11:34,上海南,11:34,3740,694,False
149,T78,特快,南宁,9:58,上海南,第2日10:18,10:18,上海南,10:18,2900,618,False
152,T82,特快,南宁,10:58,上海南,第2日13:27,13:27,上海南,13:27,3029,807,False
153,Z245,直特,长沙,20:08,上海南,第2日06:44,6:44,上海南,6:44,2076,404,False
156,Z248,直特,长沙,20:08,上海南,第2日06:44,6:44,上海南,6:44,2076,404,False
157,Z25,直特,武昌,21:52,上海南,第2日08:11,8:11,上海南,8:11,2059,491,False
158,Z255,直特,重庆北,14:32,上海南,第2日09:05,9:05,上海南,9:05,2553,545,False
161,Z258,直特,重庆北,14:32,上海南,第2日09:05,9:05,上海南,9:05,2553,545,False
