车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival,train
G5802,高速,香港西九龙,12:56,福田,当天13:10,13:10,福田,13:10,14,790,
G5804,高速,香港西九龙,14:04,福田,当天14:18,14:18,福田,14:18,14,858,
G5806,高速,香港西九龙,15:19,福田,当天15:33,15:33,福田,15:33,14,933,
G5808,高速,香港西九龙,13:30,福田,当天13:45,13:45,福田,13:45,15,825,
G5810,高速,香港西九龙,14:39,福田,当天14:53,14:53,福田,14:53,14,893,
G5814,高速,香港西九龙,17:26,福田,当天17:40,17:40,福田,17:40,14,1060,
G5816,高速,香港西九龙,10:20,福田,当天10:34,10:34,福田,10:34,14,634,
G5818,高速,香港西九龙,11:20,福田,当天11:34,11:34,福田,11:34,14,694,
G5820,高速,香港西九龙,7:10,福田,当天07:24,7:24,福田,7:24,14,444,
G5822,高速,香港西九龙,8:15,福田,当天08:29,8:29,福田,8:29,14,509,
G5824,高速,香港西九龙,20:07,福田,当天20:21,20:21,福田,20:21,14,1221,
G5826,高速,香港西九龙,21:20,福田,当天21:34,21:34,福田,21:34,14,1294,
G5828,高速,香港西九龙,16:47,福田,当天17:01,17:01,福田,17:01,14,1021,
G5830,高速,香港西九龙,18:00,福田,当天18:14,18:14,福田,18:14,14,1094,
G5832,高速,香港西九龙,19:05,福田,当天19:19,19:19,福田,19:19,14,1159,
G5834,高速,香港西九龙,7:43,福田,当天07:57,7:57,福田,7:57,14,477,
G5836,高速,香港西九龙,8:50,福田,当天09:04,9:04,福田,9:04,14,544,
G5838,高速,香港西九龙,9:53,福田,当天10:07,10:07,福田,10:07,14,607,
G5840,高速,香港西九龙,10:57,福田,当天11:11,11:11,福田,11:11,14,671,
G5842,高速,香港西九龙,11:59,福田,当天12:13,12:13,福田,12:13,14,733,
G5844,高速,香港西九龙,13:01,福田,当天13:15,13:15,福田,13:15,14,795,
G5846,高速,香港西九龙,14:09,福田,当天14:23,14:23,福田,14:23,14,863,
G5848,高速,香港西九龙,15:49,福田,当天16:03,16:03,福田,16:03,14,963,
G5850,高速,香港西九龙,17:02,福田,当天17:16,17:16,福田,17:16,14,1036,
G5852,高速,香港西九龙,18:05,福田,当天18:19,18:19,福田,18:19,14,1099,
G5854,高速,香港西九龙,19:15,福田,当天19:29,19:29,福田,19:29,14,1169,
G5856,高速,香港西九龙,20:28,福田,当天20:42,20:42,福田,20:42,14,1242,
G6027,高速,岳阳东,18:50,福田,当天23:05,23:05,福田,23:05,255,1385,
G6071,高速,永州,13:17,福田,当天17:25,17:25,福田,17:25,248,1045,
G6074,高速,永州,13:17,福田,当天17:25,17:25,福田,17:25,248,1045,
G6215,高速,广州南,11:03,福田,当天12:07,12:07,福田,12:07,64,727,
G6227,高速,广州南,7:23,福田,当天08:18,8:18,福田,8:18,55,498,
G6263,高速,广州南,22:09,福田,当天22:50,22:50,福田,22:50,41,1370,
G6265,高速,广州南,19:05,福田,当天19:55,19:55,福田,19:55,50,1195,
G71,高速,北京西,7:26,福田,当天18:04,18:04,福田,18:04,638,1084,
