车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival,train
C6801,动车,惠州南,7:04,深圳北,当天07:36,7:36,深圳北,7:36,32,456,CRH1AA1248
C6803,动车,深圳坪山,9:45,深圳北,当天10:11,10:11,深圳北,10:11,26,611,CRH1AA1248
C6805,动车,深圳坪山,11:18,深圳北,当天11:42,11:42,深圳北,11:42,24,702,CRH1AA1248
C6807,动车,深圳坪山,12:58,深圳北,当天13:23,13:23,深圳北,13:23,25,803,CR400AF2062
C6809,动车,深圳坪山,14:28,深圳北,当天14:52,14:52,深圳北,14:52,24,892,CRH1AA1248
C6811,动车,深圳坪山,15:45,深圳北,当天16:11,16:11,深圳北,16:11,26,971,CRH1AA1236
C6813,动车,深圳坪山,17:21,深圳北,当天17:47,17:47,深圳北,17:47,26,1067,CRH1AA1248
C6815,动车,惠州南,19:04,深圳北,当天19:44,19:44,深圳北,19:44,40,1184,CR400AF2062
C6817,动车,深圳坪山,21:12,深圳北,当天21:38,21:38,深圳北,21:38,26,1298,CR300AF2046
C6839,动车,深圳坪山,8:27,深圳北,当天08:50,8:50,深圳北,8:50,23,530,CRH1AA1248
C7281,动车,汕尾,8:19,深圳北,当天09:28,9:28,深圳北,9:28,69,568,CR400AF2062
C7283,动车,汕尾,11:54,深圳北,当天13:04,13:04,深圳北,13:04,70,784,CR400AF2062
C7285,动车,汕尾,14:56,深圳北,当天16:17,16:17,深圳北,16:17,81,977,CR400AF2062
C7287,动车,汕尾,18:05,深圳北,当天19:15,19:15,深圳北,19:15,70,1155,CR400AF2062
C7289,动车,汕尾,21:15,深圳北,当天22:25,22:25,深圳北,22:25,70,1345,CR400AF2062
C7291,动车,深圳坪山,8:00,深圳北,当天08:26,8:26,深圳北,8:26,26,506,CRH1AA1169
D2281,动车,南京,7:46,深圳北,当天21:53,21:53,深圳北,21:53,847,1313,CR300BF5003
D2283,动车,上海虹桥,11:24,深圳北,当天22:40,22:40,深圳北,22:40,676,1360,CRH2B2115
D2285,动车,上海虹桥,9:05,深圳北,当天20:38,20:38,深圳北,20:38,693,1238,CRH2B2112
D2287,动车,上海虹桥,7:02,深圳北,当天18:25,18:25,深圳北,18:25,683,1105,CRH2A2186
D2293,动车,南京南,10:38,深圳北,当天23:01,23:01,深圳北,23:01,743,1381,CRH1AA1244
D2297,动车,泰宁,7:36,深圳北,当天14:18,14:18,深圳北,14:18,402,858,
D2301,动车,福州南,9:19,深圳北,当天14:25,14:25,深圳北,14:25,306,865,CRH1AA
D2303,动车,福州南,10:15,深圳北,当天15:34,15:34,深圳北,15:34,319,934,
D2305,动车,福鼎,12:44,深圳北,当天19:09,19:09,深圳北,19:09,385,1149,
D2307,动车,福州南,14:56,深圳北,当天20:15,20:15,深圳北,20:15,319,1215,CRH1AA1175
D2309,动车,福州南,15:46,深圳北,当天20:49,20:49,深圳北,20:49,303,1249,
D2311,动车,福州南,7:57,深圳北,当天12:58,12:58,深圳北,12:58,301,778,
D2313,动车,泉州,8:02,深圳北,当天12:42,12:42,深圳北,12:42,280,762,
D2315,动车,泉州,7:13,深圳北,当天11:13,11:13,深圳北,11:13,240,673,CRH1A@371
D2317,动车,厦门,14:43,深圳北,当天18:20,18:20,深圳北,18:20,217,1100,CRH1A@371
D2319,动车,厦门,15:58,深圳北,当天19:56,19:56,深圳北,19:56,238,1196,CRH1A@371
D2321,动车,南昌西,8:12,深圳北,当天16:40,16:40,深圳北,16:40,508,1000,
D2323,动车,福州南,9:36,深圳北,当天14:47,14:47,深圳北,14:47,311,887,
D2325,动车,上饶,7:55,深圳北,当天15:55,15:55,深圳北,15:55,480,955,
D2327,动车,福州南,7:10,深圳北,当天12:46,12:46,深圳北,12:46,336,766,
D2329,动车,厦门北,11:21,深圳北,当天15:17,15:17,深圳北,15:17,236,917,
D2331,动车,福州,12:25,深圳北,当天17:58,17:58,深圳北,17:58,333,1078,
D2335,动车,厦门,18:17,深圳北,当天22:08,22:08,深圳北,22:08,231,1328,CRH1AA1256
D2339,动车,厦门,7:35,深圳北,当天11:27,11:27,深圳北,11:27,232,687,
D2341,动车,厦门北,11:49,深圳北,当天15:23,15:23,深圳北,15:23,214,923,CRH2E2131
D2345,动车,厦门,13:04,深圳北,当天16:50,16:50,深圳北,16:50,226,1010,CRH2E2132
D2349,动车,厦门,12:09,深圳北,当天16:05,16:05,深圳北,16:05,236,965,CRH2E2126
D2351,动车,龙岩,12:18,深圳北,当天16:23,16:23,深圳北,16:23,245,983,
D2353,动车,南平市,15:29,深圳北,当天22:34,22:34,深圳北,22:34,425,1354,
D2355,动车,龙岩,7:59,深圳北,当天12:36,12:36,深圳北,12:36,277,756,
D2357,动车,赣州,7:13,深圳北,当天13:42,13:42,深圳北,13:42,389,822,
D2361,动车,南昌西,7:19,深圳北,当天15:39,15:39,深圳北,15:39,500,939,
D3107,动车,上海虹桥,9:40,深圳北,当天21:33,21:33,深圳北,21:33,713,1293,CRH1B1057
D3111,动车,杭州东,7:33,深圳北,当天18:15,18:15,深圳北,18:15,642,1095,CRH1B1044
D3125,动车,南京,6:37,深圳北,当天20:34,20:34,深圳北,20:34,837,1234,CRH1B1080
D3307,动车,杭州东,8:19,深圳北,当天18:47,18:47,深圳北,18:47,628,1127,CRH1B1049
D3333,动车,福州南,6:45,深圳北,当天11:57,11:57,深圳北,11:57,312,717,
D3335,动车,福州南,8:05,深圳北,当天13:36,13:36,深圳北,13:36,331,816,
D3337,动车,福州南,9:55,深圳北,当天15:09,15:09,深圳北,15:09,314,909,
D3339,动车,福州南,10:47,深圳北,当天16:28,16:28,深圳北,16:28,341,988,
D3341,动车,福州南,12:17,深圳北,当天17:05,17:05,深圳北,17:05,288,1025,
D377,动车,上海虹桥,7:46,深圳北,当天19:25,19:25,深圳北,19:25,699,1165,CRH1E1066
D671,动车,福州南,18:17,深圳北,当天23:22,23:22,深圳北,23:22,305,1402,
D673,动车,厦门,11:58,深圳北,当天15:50,15:50,深圳北,15:50,232,950,
D675,动车,厦门,6:20,深圳北,当天10:19,10:19,深圳北,10:19,239,619,CRH2A2057
D677,动车,漳州,7:20,深圳北,当天10:45,10:45,深圳北,10:45,205,645,CRH1B1049
D681,动车,莆田,6:57,深圳北,当天11:32,11:32,深圳北,11:32,275,692,CRH1AA1248
D683,动车,厦门,13:37,深圳北,当天17:17,17:17,深圳北,17:17,220,1037,
D685,动车,厦门,10:47,深圳北,当天14:36,14:36,深圳北,14:36,229,876,CRH1AA1173
D687,动车,厦门,13:55,深圳北,当天17:40,17:40,深圳北,17:40,225,1060,CRH1AA1173
D689,动车,厦门北,8:31,深圳北,当天12:08,12:08,深圳北,12:08,217,728,CRH1AA1227
D691,动车,厦门,17:44,深圳北,当天21:43,21:43,深圳北,21:43,239,1303,CRH1AA1227
D7309,动车,梅州西,7:45,深圳北,当天11:08,11:08,深圳北,11:08,203,668,CRH1AA1169
D7311,动车,梅州西,14:55,深圳北,当天18:05,18:05,深圳北,18:05,190,1085,CRH1AA1175
D7315,动车,梅州西,10:20,深圳北,当天13:47,13:47,深圳北,13:47,207,827,CRH1AA1260
D7317,动车,梅州西,18:05,深圳北,当天21:28,21:28,深圳北,21:28,203,1288,CRH1AA1260
D7351,动车,潮汕,6:14,深圳北,当天08:18,8:18,深圳北,8:18,124,498,CRH1AA1221
D7353,动车,潮汕,7:18,深圳北,当天09:21,9:21,深圳北,9:21,123,561,
D7355,动车,潮汕,8:02,深圳北,当天10:05,10:05,深圳北,10:05,123,605,CRH1A@371
D7357,动车,潮汕,7:40,深圳北,当天09:52,9:52,深圳北,9:52,132,592,CRH1AA1256
D7359,动车,潮汕,7:13,深圳北,当天09:16,9:16,深圳北,9:16,123,556,CRH1A1154
D7361,动车,潮汕,8:19,深圳北,当天10:30,10:30,深圳北,10:30,131,630,CRH2B2113
D7409,动车,潮汕,15:24,深圳北,当天17:24,17:24,深圳北,17:24,120,1044,CRH1AA@228
D7414,动车,汕头,12:20,深圳北,当天15:04,15:04,深圳北,15:04,164,904,CRH1AA1175
