,maxPop,编组大小,公交分担,安检模式,编组大小x公交分担,label
0,210,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
1,203,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
2,198,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
3,208,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
4,196,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
5,210,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
6,193,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
7,212,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
8,210,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
9,209,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
10,225,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
11,207,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
12,203,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
13,194,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
14,194,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
0,178,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
1,174,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
2,163,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
3,174,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
4,169,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
5,168,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
6,164,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
7,172,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
8,166,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
9,176,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
10,182,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
11,172,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
12,176,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
13,159,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
14,161,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
0,188,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
1,192,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
2,193,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
3,215,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
4,206,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
