,maxPop,编组大小,公交分担,安检模式,编组大小x公交分担,label
0,67,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
1,76,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
2,77,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
3,73,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
4,73,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
5,83,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
6,64,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
7,72,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
8,62,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
9,59,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
10,63,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
11,64,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
12,71,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
13,69,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
14,66,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
0,86,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
1,68,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
2,80,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
3,82,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
4,86,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
5,83,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
6,75,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
7,85,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
8,71,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
9,90,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
10,88,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
11,71,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
12,71,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
13,82,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
14,82,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
0,90,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
1,94,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
2,84,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
3,91,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
4,95,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
5,88,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
6,83,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
7,78,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
8,70,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
9,85,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
10,77,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
11,81,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
12,90,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
13,86,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
14,88,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
0,106,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
1,95,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
2,113,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
3,113,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
4,90,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
5,91,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
6,95,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
7,108,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
8,113,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
9,86,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
10,95,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
11,96,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
12,97,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
13,97,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
14,106,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
0,157,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
1,141,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
2,134,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
3,138,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
4,138,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
5,133,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
6,137,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
7,148,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
8,142,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
9,143,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
10,144,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
11,132,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
12,140,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
13,133,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
14,120,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
0,141,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
1,130,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
2,148,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
3,144,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
4,145,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
5,141,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
6,144,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
7,159,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
8,134,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
