,maxPop,编组大小,公交分担,安检模式,编组大小x公交分担,label
0,45,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
1,57,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
2,46,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
3,49,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
4,56,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
5,52,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
6,45,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
7,46,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
8,40,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
9,45,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
10,42,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
11,50,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
12,44,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
13,46,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
14,46,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
0,60,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
1,44,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
2,42,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
3,49,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
4,53,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
5,63,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
6,47,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
7,56,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
8,59,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
9,43,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
