,Duration,LOS Duration,sample num,编组大小,公交分担,安检模式,编组大小x公交分担
0,199.0810810810811,98.29729729729729,74,城际列车,2035年,传统安检,城际列车 2035年
1,271.2,135.425,40,城际列车,2035年,传统安检,城际列车 2035年
2,256.1111111111111,120.63888888888889,36,城际列车,2035年,传统安检,城际列车 2035年
3,279.9811320754717,126.58490566037736,53,城际列车,2035年,传统安检,城际列车 2035年
4,253.2,123.7,30,城际列车,2035年,传统安检,城际列车 2035年
5,256.1162790697674,118.83720930232558,43,城际列车,2035年,传统安检,城际列车 2035年
6,268.45714285714286,122.42857142857143,35,城际列车,2035年,传统安检,城际列车 2035年
7,247.375,124.5625,32,城际列车,2035年,传统安检,城际列车 2035年
8,270.40425531914894,126.27659574468085,47,城际列车,2035年,传统安检,城际列车 2035年
9,244.08695652173913,124.3695652173913,46,城际列车,2035年,传统安检,城际列车 2035年
10,262.44444444444446,129.83333333333334,36,城际列车,2035年,传统安检,城际列车 2035年
11,265.7674418604651,126.55813953488372,43,城际列车,2035年,传统安检,城际列车 2035年
12,248.53846153846155,126.74358974358974,39,城际列车,2035年,传统安检,城际列车 2035年
0,208.63235294117646,107.79411764705883,68,城际列车,2035年,安检互认,城际列车 2035年
1,275.02702702702703,135.2972972972973,37,城际列车,2035年,安检互认,城际列车 2035年
2,267.6363636363636,120.95454545454545,44,城际列车,2035年,安检互认,城际列车 2035年
3,279.97777777777776,127.33333333333333,45,城际列车,2035年,安检互认,城际列车 2035年
4,261.030303030303,125.51515151515152,33,城际列车,2035年,安检互认,城际列车 2035年
5,265.22222222222223,130.55555555555554,45,城际列车,2035年,安检互认,城际列车 2035年
6,271.59375,130.375,32,城际列车,2035年,安检互认,城际列车 2035年
7,252.72727272727272,129.8181818181818,33,城际列车,2035年,安检互认,城际列车 2035年
8,273.94,124.58,50,城际列车,2035年,安检互认,城际列车 2035年
9,249.88095238095238,126.33333333333333,42,城际列车,2035年,安检互认,城际列车 2035年
10,262.11764705882354,128.5,34,城际列车,2035年,安检互认,城际列车 2035年
11,268.9347826086956,128.69565217391303,46,城际列车,2035年,安检互认,城际列车 2035年
12,252.5952380952381,128.38095238095238,42,城际列车,2035年,安检互认,城际列车 2035年
0,217.79365079365078,109.58730158730158,63,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
1,277.02702702702703,135.78378378378378,37,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
2,272.70454545454544,129.29545454545453,44,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
