,Duration,LOS Duration,sample num,编组大小,公交分担,安检模式,编组大小x公交分担
0,122.01,149.02,100,城际列车,2035年,传统安检,城际列车 2035年
1,115.90625,143.79166666666666,96,城际列车,2035年,传统安检,城际列车 2035年
2,126.96551724137932,142.816091954023,87,城际列车,2035年,传统安检,城际列车 2035年
3,135.4795918367347,136.3673469387755,98,城际列车,2035年,传统安检,城际列车 2035年
4,132.53125,159.64583333333334,96,城际列车,2035年,传统安检,城际列车 2035年
5,129.8095238095238,150.86904761904762,84,城际列车,2035年,传统安检,城际列车 2035年
6,126.36666666666666,142.98888888888888,90,城际列车,2035年,传统安检,城际列车 2035年
7,127.58974358974359,132.26923076923077,78,城际列车,2035年,传统安检,城际列车 2035年
8,124.81012658227849,154.1139240506329,79,城际列车,2035年,传统安检,城际列车 2035年
9,124.77011494252874,146.1494252873563,87,城际列车,2035年,传统安检,城际列车 2035年
10,118.70114942528735,135.71264367816093,87,城际列车,2035年,传统安检,城际列车 2035年
11,120.75294117647059,130.45882352941177,85,城际列车,2035年,传统安检,城际列车 2035年
12,124.9375,145.20833333333334,96,城际列车,2035年,传统安检,城际列车 2035年
13,111.8076923076923,143.8846153846154,78,城际列车,2035年,传统安检,城际列车 2035年
0,122.35051546391753,149.44329896907217,97,城际列车,2035年,安检互认,城际列车 2035年
1,122.21875,155.60416666666666,96,城际列车,2035年,安检互认,城际列车 2035年
2,115.33707865168539,119.62921348314607,89,城际列车,2035年,安检互认,城际列车 2035年
3,134.33684210526314,143.8842105263158,95,城际列车,2035年,安检互认,城际列车 2035年
4,122.34782608695652,132.22826086956522,92,城际列车,2035年,安检互认,城际列车 2035年
5,123.15217391304348,140.3586956521739,92,城际列车,2035年,安检互认,城际列车 2035年
6,135.93103448275863,146.42528735632183,87,城际列车,2035年,安检互认,城际列车 2035年
7,122.05263157894737,137.3421052631579,76,城际列车,2035年,安检互认,城际列车 2035年
8,124.5,145.54651162790697,86,城际列车,2035年,安检互认,城际列车 2035年
9,127.52222222222223,155.96666666666667,90,城际列车,2035年,安检互认,城际列车 2035年
10,112.38202247191012,129.53932584269663,89,城际列车,2035年,安检互认,城际列车 2035年
11,118.21951219512195,133.390243902439,82,城际列车,2035年,安检互认,城际列车 2035年
12,126.55102040816327,149.3877551020408,98,城际列车,2035年,安检互认,城际列车 2035年
