,maxPop,编组大小,公交分担,安检模式,编组大小x公交分担,label
0,66,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
1,61,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
2,60,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
3,62,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
4,65,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
5,67,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
6,68,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
7,65,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
8,71,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
9,58,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
10,70,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
11,65,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
12,56,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
13,63,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
14,63,城际列车,2035年,传统安检,城际列车 2035年,城际列车 2035年 传统安检
0,86,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
1,68,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
2,80,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
3,82,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
4,86,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
5,83,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
6,75,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
7,85,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
8,71,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
9,90,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
