,Duration,LOS Duration,编组大小,公交分担,安检模式,编组大小x公交分担
0,58.464114832535884,25.095693779904305,城际列车,2035年,传统安检,城际列车 2035年
1,58.12700964630225,24.205787781350484,城际列车,2035年,传统安检,城际列车 2035年
2,57.86261980830671,24.5,城际列车,2035年,传统安检,城际列车 2035年
3,59.49682539682539,24.406349206349205,城际列车,2035年,传统安检,城际列车 2035年
4,58.380645161290325,25.443548387096776,城际列车,2035年,传统安检,城际列车 2035年
5,57.14308426073132,25.61844197138315,城际列车,2035年,传统安检,城际列车 2035年
6,54.89354838709677,26.164516129032258,城际列车,2035年,传统安检,城际列车 2035年
7,57.3344,23.5568,城际列车,2035年,传统安检,城际列车 2035年
8,58.88906752411575,25.823151125401928,城际列车,2035年,传统安检,城际列车 2035年
9,59.07085346215781,24.835748792270532,城际列车,2035年,传统安检,城际列车 2035年
10,58.15948963317384,25.494417862838915,城际列车,2035年,传统安检,城际列车 2035年
11,57.29326923076923,25.189102564102566,城际列车,2035年,传统安检,城际列车 2035年
12,57.49047619047619,24.446031746031746,城际列车,2035年,传统安检,城际列车 2035年
13,56.473015873015875,25.13968253968254,城际列车,2035年,传统安检,城际列车 2035年
14,58.78947368421053,22.392344497607656,城际列车,2035年,传统安检,城际列车 2035年
15,56.084664536741215,23.359424920127797,城际列车,2035年,传统安检,城际列车 2035年
0,58.2902711323764,24.952153110047846,城际列车,2035年,安检互认,城际列车 2035年
1,57.554662379421224,23.573954983922828,城际列车,2035年,安检互认,城际列车 2035年
2,58.370607028753994,24.97444089456869,城际列车,2035年,安检互认,城际列车 2035年
3,58.884126984126986,23.796825396825398,城际列车,2035年,安检互认,城际列车 2035年
4,58.2,25.217741935483872,城际列车,2035年,安检互认,城际列车 2035年
5,57.33545310015898,25.92845786963434,城际列车,2035年,安检互认,城际列车 2035年
6,54.766129032258064,25.77741935483871,城际列车,2035年,安检互认,城际列车 2035年
7,57.7408,24.1168,城际列车,2035年,安检互认,城际列车 2035年
8,58.60932475884244,25.667202572347268,城际列车,2035年,安检互认,城际列车 2035年
9,59.330112721417066,25.066022544283413,城际列车,2035年,安检互认,城际列车 2035年
10,58.11802232854865,25.34768740031898,城际列车,2035年,安检互认,城际列车 2035年
11,57.107371794871796,24.977564102564102,城际列车,2035年,安检互认,城际列车 2035年
12,57.763492063492066,24.855555555555554,城际列车,2035年,安检互认,城际列车 2035年
13,57.24920634920635,25.995238095238093,城际列车,2035年,安检互认,城际列车 2035年
14,59.77671451355662,23.403508771929825,城际列车,2035年,安检互认,城际列车 2035年
15,56.30990415335463,23.619808306709267,城际列车,2035年,安检互认,城际列车 2035年
0,38.1184,5.3616,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
1,38.22347266881029,5.094855305466238,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
2,37.873194221508825,5.325842696629214,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
3,39.37619047619047,5.155555555555556,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
4,37.81906300484653,5.436187399030695,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
5,36.41242038216561,5.385350318471337,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
6,33.54838709677419,5.332258064516129,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
7,38.21314102564103,5.137820512820513,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
8,37.461414790996784,5.323151125401929,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
9,38.72668810289389,5.323151125401929,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
10,37.322683706070286,5.388178913738019,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
11,36.901612903225804,5.370967741935484,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
12,37.50636942675159,5.125796178343949,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
13,35.689984101748806,5.21939586645469,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
14,40.57575757575758,5.159489633173844,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
15,37.1216,5.216,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
0,57.93374558303887,13.04505300353357,非城际列车,2035年,传统安检,非城际列车 2035年
1,55.46450482033304,13.877300613496933,非城际列车,2035年,传统安检,非城际列车 2035年
2,57.13178294573643,13.965546942291128,非城际列车,2035年,传统安检,非城际列车 2035年
3,58.99481417458946,12.700086430423509,非城际列车,2035年,传统安检,非城际列车 2035年
4,56.970017636684304,12.679012345679013,非城际列车,2035年,传统安检,非城际列车 2035年
5,58.73116438356164,13.60359589041096,非城际列车,2035年,传统安检,非城际列车 2035年
6,55.6995670995671,14.924675324675325,非城际列车,2035年,传统安检,非城际列车 2035年
7,57.51520417028671,14.274543874891398,非城际列车,2035年,传统安检,非城际列车 2035年
8,55.75042881646655,14.11663807890223,非城际列车,2035年,传统安检,非城际列车 2035年
9,56.951557093425606,12.577854671280276,非城际列车,2035年,传统安检,非城际列车 2035年
10,57.72914875322442,13.916595012897679,非城际列车,2035年,传统安检,非城际列车 2035年
0,57.56216696269982,12.787744227353464,非城际列车,2035年,安检互认,非城际列车 2035年
1,56.45927209705373,13.844887348353552,非城际列车,2035年,安检互认,非城际列车 2035年
